Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APBA1	BACE1	9606.ENSP00000265381	9606.ENSP00000318585	0	0	0	0	0.076	0.070	0	0.375	0.416
APBA1	APBB1	9606.ENSP00000265381	9606.ENSP00000477213	0	0	0	0	0.121	0	0	0.706	0.730
APBA1	PSEN1	9606.ENSP00000265381	9606.ENSP00000326366	0	0	0	0	0	0.678	0	0.476	0.824
APBA1	APP	9606.ENSP00000265381	9606.ENSP00000284981	0	0	0	0	0.189	0.965	0	0.984	0.999
APBA2	APP	9606.ENSP00000453293	9606.ENSP00000284981	0	0	0	0	0.159	0.923	0	0.986	0.999
APBA2	BACE1	9606.ENSP00000453293	9606.ENSP00000318585	0	0	0	0	0	0.070	0	0.383	0.401
APBA2	PSEN1	9606.ENSP00000453293	9606.ENSP00000326366	0	0	0	0	0	0.312	0	0.709	0.792
APBA2	APBB1	9606.ENSP00000453293	9606.ENSP00000477213	0	0	0	0	0.125	0	0	0.885	0.895
APBB1	APOE	9606.ENSP00000477213	9606.ENSP00000252486	0	0	0	0	0	0	0	0.636	0.636
APBB1	SORL1	9606.ENSP00000477213	9606.ENSP00000260197	0	0	0	0	0.062	0	0	0.514	0.525
APBB1	APBA1	9606.ENSP00000477213	9606.ENSP00000265381	0	0	0	0	0.121	0	0	0.706	0.730
APBB1	APP	9606.ENSP00000477213	9606.ENSP00000284981	0	0	0	0	0.092	0.985	0.800	0.989	0.999
APBB1	NCSTN	9606.ENSP00000477213	9606.ENSP00000294785	0	0	0	0	0	0.145	0	0.569	0.616
APBB1	BACE1	9606.ENSP00000477213	9606.ENSP00000318585	0	0	0	0	0.079	0	0	0.665	0.679
APBB1	PSEN1	9606.ENSP00000477213	9606.ENSP00000326366	0	0	0	0	0	0	0	0.570	0.570
APBB1	APH1A	9606.ENSP00000477213	9606.ENSP00000358105	0	0	0	0	0	0	0	0.456	0.456
APBB1	APBA2	9606.ENSP00000477213	9606.ENSP00000453293	0	0	0	0	0.125	0	0	0.885	0.895
APH1A	APOE	9606.ENSP00000358105	9606.ENSP00000252486	0	0	0	0	0.062	0	0	0.483	0.495
APH1A	APP	9606.ENSP00000358105	9606.ENSP00000284981	0	0	0	0	0	0.800	0.900	0.873	0.997
APH1A	NCSTN	9606.ENSP00000358105	9606.ENSP00000294785	0	0	0	0	0.088	0.985	0.900	0.995	0.999
APH1A	BACE1	9606.ENSP00000358105	9606.ENSP00000318585	0	0	0	0	0	0	0	0.870	0.870
APH1A	PSEN1	9606.ENSP00000358105	9606.ENSP00000326366	0	0	0	0	0.066	0.982	0.900	0.993	0.999
APH1A	APBB1	9606.ENSP00000358105	9606.ENSP00000477213	0	0	0	0	0	0	0	0.456	0.456
APOE	APH1A	9606.ENSP00000252486	9606.ENSP00000358105	0	0	0	0	0.062	0	0	0.483	0.495
APOE	NCSTN	9606.ENSP00000252486	9606.ENSP00000294785	0	0	0	0	0	0	0	0.556	0.556
APOE	APBB1	9606.ENSP00000252486	9606.ENSP00000477213	0	0	0	0	0	0	0	0.636	0.636
APOE	BACE1	9606.ENSP00000252486	9606.ENSP00000318585	0	0	0	0	0	0	0	0.801	0.801
APOE	PSEN1	9606.ENSP00000252486	9606.ENSP00000326366	0	0	0	0	0.062	0	0	0.900	0.902
APOE	SORL1	9606.ENSP00000252486	9606.ENSP00000260197	0	0	0	0	0	0.622	0	0.987	0.995
APOE	APP	9606.ENSP00000252486	9606.ENSP00000284981	0	0	0	0	0.071	0.871	0.720	0.972	0.998
APP	APOE	9606.ENSP00000284981	9606.ENSP00000252486	0	0	0	0	0.071	0.871	0.720	0.972	0.998
APP	SORL1	9606.ENSP00000284981	9606.ENSP00000260197	0	0	0	0	0.063	0.887	0.800	0.989	0.999
APP	APBA1	9606.ENSP00000284981	9606.ENSP00000265381	0	0	0	0	0.189	0.965	0	0.984	0.999
APP	APH1A	9606.ENSP00000284981	9606.ENSP00000358105	0	0	0	0	0	0.800	0.900	0.873	0.997
APP	NAE1	9606.ENSP00000284981	9606.ENSP00000351990	0	0	0	0	0	0.437	0.800	0.977	0.997
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0	0	0	0.088	0.880	0.900	0.991	0.999
APP	APBB1	9606.ENSP00000284981	9606.ENSP00000477213	0	0	0	0	0.092	0.985	0.800	0.989	0.999
APP	PSEN1	9606.ENSP00000284981	9606.ENSP00000326366	0	0	0	0	0.048	0.974	0.900	0.972	0.999
APP	APBA2	9606.ENSP00000284981	9606.ENSP00000453293	0	0	0	0	0.159	0.923	0	0.986	0.999
APP	NCSTN	9606.ENSP00000284981	9606.ENSP00000294785	0	0	0	0	0.062	0.896	0.900	0.972	0.999
BACE1	APOE	9606.ENSP00000318585	9606.ENSP00000252486	0	0	0	0	0	0	0	0.801	0.801
BACE1	SORL1	9606.ENSP00000318585	9606.ENSP00000260197	0	0	0	0	0.062	0.058	0	0.926	0.930
BACE1	APBA1	9606.ENSP00000318585	9606.ENSP00000265381	0	0	0	0	0.076	0.070	0	0.375	0.416
BACE1	APP	9606.ENSP00000318585	9606.ENSP00000284981	0	0	0	0	0.088	0.880	0.900	0.991	0.999
BACE1	NCSTN	9606.ENSP00000318585	9606.ENSP00000294785	0	0	0	0	0	0.270	0	0.972	0.979
BACE1	APBA2	9606.ENSP00000318585	9606.ENSP00000453293	0	0	0	0	0	0.070	0	0.383	0.401
BACE1	APBB1	9606.ENSP00000318585	9606.ENSP00000477213	0	0	0	0	0.079	0	0	0.665	0.679
BACE1	APH1A	9606.ENSP00000318585	9606.ENSP00000358105	0	0	0	0	0	0	0	0.870	0.870
BACE1	PSEN1	9606.ENSP00000318585	9606.ENSP00000326366	0	0	0	0	0	0.270	0	0.980	0.985
NAE1	APP	9606.ENSP00000351990	9606.ENSP00000284981	0	0	0	0	0	0.437	0.800	0.977	0.997
NCSTN	APOE	9606.ENSP00000294785	9606.ENSP00000252486	0	0	0	0	0	0	0	0.556	0.556
NCSTN	SORL1	9606.ENSP00000294785	9606.ENSP00000260197	0	0	0	0	0	0	0	0.462	0.462
NCSTN	APP	9606.ENSP00000294785	9606.ENSP00000284981	0	0	0	0	0.062	0.896	0.900	0.972	0.999
NCSTN	APBB1	9606.ENSP00000294785	9606.ENSP00000477213	0	0	0	0	0	0.145	0	0.569	0.616
NCSTN	BACE1	9606.ENSP00000294785	9606.ENSP00000318585	0	0	0	0	0	0.270	0	0.972	0.979
NCSTN	PSEN1	9606.ENSP00000294785	9606.ENSP00000326366	0	0	0	0	0.083	0.989	0.900	0.994	0.999
