Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
B2M	HFE2	9606.ENSP00000452780	9606.ENSP00000337014	0	0	0	0	0	0	0.720	0.222	0.773
B2M	TFRC	9606.ENSP00000452780	9606.ENSP00000353224	0	0	0	0	0.062	0.936	0.720	0.963	0.999
B2M	BMPR1A	9606.ENSP00000452780	9606.ENSP00000361107	0	0	0	0	0	0	0.540	0.124	0.579
B2M	TF	9606.ENSP00000452780	9606.ENSP00000385834	0	0	0	0	0.063	0	0.720	0.230	0.780
B2M	HLA-B	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0.367	0.987	0.800	0.710	0.999
B2M	HFE	9606.ENSP00000452780	9606.ENSP00000417404	0	0	0	0	0.062	0.973	0.720	0.989	0.999
B2M	TFR2	9606.ENSP00000452780	9606.ENSP00000420525	0	0	0	0	0	0	0.720	0.341	0.807
BMPR1A	HFE2	9606.ENSP00000361107	9606.ENSP00000337014	0	0	0	0	0	0.057	0.900	0.864	0.986
BMPR1A	TFRC	9606.ENSP00000361107	9606.ENSP00000353224	0	0	0	0	0.062	0.059	0.540	0.209	0.635
BMPR1A	TMPRSS6	9606.ENSP00000361107	9606.ENSP00000371211	0	0	0	0	0.062	0.056	0	0.441	0.462
BMPR1A	HAMP	9606.ENSP00000361107	9606.ENSP00000471894	0	0	0	0	0	0	0	0.510	0.510
BMPR1A	TF	9606.ENSP00000361107	9606.ENSP00000385834	0	0	0	0	0	0	0.540	0	0.540
BMPR1A	B2M	9606.ENSP00000361107	9606.ENSP00000452780	0	0	0	0	0	0	0.540	0.124	0.579
BMPR1A	TFR2	9606.ENSP00000361107	9606.ENSP00000420525	0	0	0	0	0.062	0.059	0.540	0.454	0.749
BMPR1A	HFE	9606.ENSP00000361107	9606.ENSP00000417404	0	0	0	0	0	0.065	0.540	0.581	0.804
HAMP	SLC40A1	9606.ENSP00000471894	9606.ENSP00000261024	0	0	0	0	0.058	0.835	0	0.988	0.998
HAMP	HFE2	9606.ENSP00000471894	9606.ENSP00000337014	0	0	0	0	0.063	0	0	0.915	0.917
HAMP	TFRC	9606.ENSP00000471894	9606.ENSP00000353224	0	0	0	0	0.051	0	0	0.870	0.871
HAMP	BMPR1A	9606.ENSP00000471894	9606.ENSP00000361107	0	0	0	0	0	0	0	0.510	0.510
HAMP	TMPRSS6	9606.ENSP00000471894	9606.ENSP00000371211	0	0	0	0	0.065	0	0	0.870	0.873
HAMP	HFE	9606.ENSP00000471894	9606.ENSP00000417404	0	0	0	0	0.062	0	0	0.913	0.915
HAMP	TFR2	9606.ENSP00000471894	9606.ENSP00000420525	0	0	0	0	0.064	0	0	0.908	0.910
HFE	SLC40A1	9606.ENSP00000417404	9606.ENSP00000261024	0	0	0	0	0.066	0	0	0.857	0.860
HFE	HFE2	9606.ENSP00000417404	9606.ENSP00000337014	0	0	0	0	0	0	0.720	0.988	0.996
HFE	TFRC	9606.ENSP00000417404	9606.ENSP00000353224	0	0	0	0	0	0.973	0.720	0.989	0.999
HFE	BMPR1A	9606.ENSP00000417404	9606.ENSP00000361107	0	0	0	0	0	0.065	0.540	0.581	0.804
HFE	TMPRSS6	9606.ENSP00000417404	9606.ENSP00000371211	0	0	0	0	0.062	0	0	0.856	0.859
HFE	TF	9606.ENSP00000417404	9606.ENSP00000385834	0	0	0	0	0.062	0.161	0.720	0.199	0.799
HFE	HLA-B	9606.ENSP00000417404	9606.ENSP00000399168	0	0	0	0.852	0	0.839	0	0.517	0.850
HFE	HAMP	9606.ENSP00000417404	9606.ENSP00000471894	0	0	0	0	0.062	0	0	0.913	0.915
HFE	TFR2	9606.ENSP00000417404	9606.ENSP00000420525	0	0	0	0	0.062	0.226	0.720	0.990	0.997
HFE	B2M	9606.ENSP00000417404	9606.ENSP00000452780	0	0	0	0	0.062	0.973	0.720	0.989	0.999
HFE2	SLC40A1	9606.ENSP00000337014	9606.ENSP00000261024	0	0	0	0	0.062	0	0	0.854	0.857
HFE2	TF	9606.ENSP00000337014	9606.ENSP00000385834	0	0	0	0	0.072	0	0.720	0.187	0.770
HFE2	B2M	9606.ENSP00000337014	9606.ENSP00000452780	0	0	0	0	0	0	0.720	0.222	0.773
HFE2	HAMP	9606.ENSP00000337014	9606.ENSP00000471894	0	0	0	0	0.063	0	0	0.915	0.917
HFE2	TFRC	9606.ENSP00000337014	9606.ENSP00000353224	0	0	0	0	0	0	0.720	0.773	0.933
HFE2	TMPRSS6	9606.ENSP00000337014	9606.ENSP00000371211	0	0	0	0	0.065	0.675	0	0.944	0.981
HFE2	BMPR1A	9606.ENSP00000337014	9606.ENSP00000361107	0	0	0	0	0	0.057	0.900	0.864	0.986
HFE2	HFE	9606.ENSP00000337014	9606.ENSP00000417404	0	0	0	0	0	0	0.720	0.988	0.996
HFE2	TFR2	9606.ENSP00000337014	9606.ENSP00000420525	0	0	0	0	0.062	0	0.720	0.991	0.997
HLA-B	HFE	9606.ENSP00000399168	9606.ENSP00000417404	0	0	0	0.852	0	0.839	0	0.517	0.850
HLA-B	B2M	9606.ENSP00000399168	9606.ENSP00000452780	0	0	0	0	0.367	0.987	0.800	0.710	0.999
SLC40A1	TMPRSS6	9606.ENSP00000261024	9606.ENSP00000371211	0	0	0	0	0.062	0	0	0.612	0.620
SLC40A1	TFRC	9606.ENSP00000261024	9606.ENSP00000353224	0	0	0	0	0.056	0	0	0.817	0.820
SLC40A1	HFE2	9606.ENSP00000261024	9606.ENSP00000337014	0	0	0	0	0.062	0	0	0.854	0.857
SLC40A1	HFE	9606.ENSP00000261024	9606.ENSP00000417404	0	0	0	0	0.066	0	0	0.857	0.860
SLC40A1	TFR2	9606.ENSP00000261024	9606.ENSP00000420525	0	0	0	0	0.062	0	0	0.872	0.875
SLC40A1	HAMP	9606.ENSP00000261024	9606.ENSP00000471894	0	0	0	0	0.058	0.835	0	0.988	0.998
TF	HFE2	9606.ENSP00000385834	9606.ENSP00000337014	0	0	0	0	0.072	0	0.720	0.187	0.770
TF	TFRC	9606.ENSP00000385834	9606.ENSP00000353224	0	0	0	0	0.049	0.974	0.800	0.922	0.999
TF	BMPR1A	9606.ENSP00000385834	9606.ENSP00000361107	0	0	0	0	0	0	0.540	0	0.540
TF	B2M	9606.ENSP00000385834	9606.ENSP00000452780	0	0	0	0	0.063	0	0.720	0.230	0.780
TF	HFE	9606.ENSP00000385834	9606.ENSP00000417404	0	0	0	0	0.062	0.161	0.720	0.199	0.799
TF	TFR2	9606.ENSP00000385834	9606.ENSP00000420525	0	0	0	0	0.088	0.270	0.720	0.478	0.889
