Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COMT	DRD4	9606.ENSP00000354511	9606.ENSP00000176183	0	0	0	0	0	0	0	0.881	0.881
COMT	DAO	9606.ENSP00000354511	9606.ENSP00000228476	0.046	0	0	0	0	0	0	0.465	0.467
COMT	ZNF804A	9606.ENSP00000354511	9606.ENSP00000303252	0	0	0	0	0	0	0	0.616	0.616
COMT	DTNBP1	9606.ENSP00000354511	9606.ENSP00000341680	0	0	0	0	0.062	0	0	0.752	0.757
COMT	DAOA	9606.ENSP00000354511	9606.ENSP00000483757	0	0	0	0	0	0	0	0.681	0.681
COMT	NRG1	9606.ENSP00000354511	9606.ENSP00000384620	0	0	0	0	0	0	0	0.681	0.681
COMT	DISC1	9606.ENSP00000354511	9606.ENSP00000355593	0	0	0	0	0	0	0	0.735	0.735
COMT	RGS4	9606.ENSP00000354511	9606.ENSP00000397181	0	0	0	0	0	0	0	0.766	0.766
COMT	GRM3	9606.ENSP00000354511	9606.ENSP00000355316	0	0	0	0	0	0.142	0	0.753	0.779
DAO	ZNF804A	9606.ENSP00000228476	9606.ENSP00000303252	0	0	0	0	0	0	0	0.436	0.436
DAO	COMT	9606.ENSP00000228476	9606.ENSP00000354511	0.046	0	0	0	0	0	0	0.465	0.467
DAO	GRM3	9606.ENSP00000228476	9606.ENSP00000355316	0	0	0	0	0.161	0	0	0.471	0.538
DAO	RGS4	9606.ENSP00000228476	9606.ENSP00000397181	0	0	0	0	0.097	0	0	0.517	0.545
DAO	NRG1	9606.ENSP00000228476	9606.ENSP00000384620	0	0	0	0	0	0	0	0.556	0.556
DAO	DISC1	9606.ENSP00000228476	9606.ENSP00000355593	0	0	0	0	0	0	0	0.568	0.568
DAO	DTNBP1	9606.ENSP00000228476	9606.ENSP00000341680	0	0	0	0	0	0	0	0.681	0.681
DAO	DAOA	9606.ENSP00000228476	9606.ENSP00000483757	0	0	0	0	0	0.462	0	0.936	0.964
DAOA	DRD4	9606.ENSP00000483757	9606.ENSP00000176183	0	0	0	0	0	0	0	0.519	0.519
DAOA	DAO	9606.ENSP00000483757	9606.ENSP00000228476	0	0	0	0	0	0.462	0	0.936	0.964
DAOA	FNBP1L	9606.ENSP00000483757	9606.ENSP00000271234	0	0	0	0	0	0	0	0.525	0.525
DAOA	ZNF804A	9606.ENSP00000483757	9606.ENSP00000303252	0	0	0	0	0	0	0	0.520	0.520
DAOA	DTNBP1	9606.ENSP00000483757	9606.ENSP00000341680	0	0	0	0	0	0	0	0.803	0.803
DAOA	COMT	9606.ENSP00000483757	9606.ENSP00000354511	0	0	0	0	0	0	0	0.681	0.681
DAOA	GRM3	9606.ENSP00000483757	9606.ENSP00000355316	0	0	0	0	0	0	0	0.566	0.566
DAOA	DISC1	9606.ENSP00000483757	9606.ENSP00000355593	0	0	0	0	0	0	0	0.751	0.751
DAOA	NRG1	9606.ENSP00000483757	9606.ENSP00000384620	0	0	0	0	0	0	0	0.708	0.708
DAOA	RGS4	9606.ENSP00000483757	9606.ENSP00000397181	0	0	0	0	0	0	0	0.653	0.653
DISC1	DRD4	9606.ENSP00000355593	9606.ENSP00000176183	0	0	0	0	0	0	0	0.452	0.452
DISC1	DAO	9606.ENSP00000355593	9606.ENSP00000228476	0	0	0	0	0	0	0	0.568	0.568
DISC1	ZNF804A	9606.ENSP00000355593	9606.ENSP00000303252	0	0	0	0	0	0	0	0.681	0.681
