Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANKK1	DRD4	9606.ENSP00000306678	9606.ENSP00000176183	0	0	0	0	0.077	0.056	0	0.767	0.779
ANKK1	SLC6A4	9606.ENSP00000306678	9606.ENSP00000261707	0	0	0	0	0.062	0	0	0.654	0.661
ANKK1	SLC6A3	9606.ENSP00000306678	9606.ENSP00000270349	0	0	0	0	0.062	0	0	0.705	0.711
ANKK1	BDNF	9606.ENSP00000306678	9606.ENSP00000414303	0	0	0	0	0	0.056	0	0.526	0.534
ANKK1	DRD3	9606.ENSP00000306678	9606.ENSP00000373169	0	0	0	0	0	0.056	0	0.666	0.671
ANKK1	COMT	9606.ENSP00000306678	9606.ENSP00000354511	0	0	0	0	0	0	0	0.774	0.774
BDNF	DRD4	9606.ENSP00000414303	9606.ENSP00000176183	0	0	0	0	0	0	0	0.614	0.614
BDNF	SLC6A4	9606.ENSP00000414303	9606.ENSP00000261707	0	0	0	0	0.049	0	0	0.910	0.911
BDNF	SLC6A3	9606.ENSP00000414303	9606.ENSP00000270349	0	0	0	0	0.049	0	0	0.745	0.747
BDNF	ANKK1	9606.ENSP00000414303	9606.ENSP00000306678	0	0	0	0	0	0.056	0	0.526	0.534
BDNF	COMT	9606.ENSP00000414303	9606.ENSP00000354511	0	0	0	0	0	0	0	0.808	0.809
BDNF	DRD3	9606.ENSP00000414303	9606.ENSP00000373169	0	0	0	0	0	0	0	0.757	0.757
COMT	DRD4	9606.ENSP00000354511	9606.ENSP00000176183	0	0	0	0	0	0	0	0.881	0.881
COMT	GNB3	9606.ENSP00000354511	9606.ENSP00000229264	0	0	0	0	0	0	0	0.427	0.426
COMT	SLC6A4	9606.ENSP00000354511	9606.ENSP00000261707	0	0	0	0	0	0	0	0.873	0.873
COMT	SLC6A3	9606.ENSP00000354511	9606.ENSP00000270349	0	0	0	0	0	0	0	0.860	0.860
