Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APH1A	NOTCH2	9606.ENSP00000358105	9606.ENSP00000256646	0	0	0	0	0.059	0.104	0.900	0.465	0.948
APH1A	APH1B	9606.ENSP00000358105	9606.ENSP00000261879	0	0	0	0.955	0	0	0.900	0.923	0.904
APH1A	NOTCH3	9606.ENSP00000358105	9606.ENSP00000263388	0	0	0	0	0.062	0.104	0.900	0.413	0.944
APH1A	NOTCH1	9606.ENSP00000358105	9606.ENSP00000277541	0	0	0	0	0.076	0.104	0.900	0.706	0.972
APH1A	APP	9606.ENSP00000358105	9606.ENSP00000284981	0	0	0	0	0	0.800	0.900	0.873	0.997
APH1A	NCSTN	9606.ENSP00000358105	9606.ENSP00000294785	0	0	0	0	0.088	0.985	0.900	0.995	0.999
APH1A	PSEN2	9606.ENSP00000358105	9606.ENSP00000355747	0	0	0	0	0.066	0.786	0.800	0.984	0.999
APH1A	TRAF6	9606.ENSP00000358105	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0	0.900
APH1A	PSENEN	9606.ENSP00000358105	9606.ENSP00000468411	0	0	0	0	0.088	0.984	0.900	0.995	0.999
APH1B	NOTCH2	9606.ENSP00000261879	9606.ENSP00000256646	0	0	0	0	0.059	0.104	0.900	0.256	0.928
APH1B	TRAF6	9606.ENSP00000261879	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0	0.900
APH1B	APH1A	9606.ENSP00000261879	9606.ENSP00000358105	0	0	0	0.955	0	0	0.900	0.923	0.904
APH1B	NOTCH3	9606.ENSP00000261879	9606.ENSP00000263388	0	0	0	0	0	0.104	0.900	0.287	0.930
APH1B	NOTCH1	9606.ENSP00000261879	9606.ENSP00000277541	0	0	0	0	0	0.104	0.900	0.539	0.955
APH1B	APP	9606.ENSP00000261879	9606.ENSP00000284981	0	0	0	0	0.052	0.044	0.900	0.664	0.965
APH1B	PSEN2	9606.ENSP00000261879	9606.ENSP00000355747	0	0	0	0	0.066	0.661	0.800	0.808	0.986
APH1B	PSENEN	9606.ENSP00000261879	9606.ENSP00000468411	0	0	0	0	0.088	0.519	0.900	0.947	0.997
APH1B	NCSTN	9606.ENSP00000261879	9606.ENSP00000294785	0	0	0	0	0.065	0.646	0.900	0.965	0.998
APP	NOTCH2	9606.ENSP00000284981	9606.ENSP00000256646	0	0	0	0	0.062	0	0	0.915	0.917
APP	APH1B	9606.ENSP00000284981	9606.ENSP00000261879	0	0	0	0	0.052	0.044	0.900	0.664	0.965
APP	NOTCH3	9606.ENSP00000284981	9606.ENSP00000263388	0	0	0	0	0.097	0	0	0.443	0.475
APP	NOTCH1	9606.ENSP00000284981	9606.ENSP00000277541	0	0	0	0	0.062	0.598	0	0.971	0.988
APP	PSEN2	9606.ENSP00000284981	9606.ENSP00000355747	0	0	0	0	0.048	0.478	0	0.945	0.970
APP	PSENEN	9606.ENSP00000284981	9606.ENSP00000468411	0	0	0	0	0	0.801	0.900	0.854	0.996
APP	APH1A	9606.ENSP00000284981	9606.ENSP00000358105	0	0	0	0	0	0.800	0.900	0.873	0.997
APP	NCSTN	9606.ENSP00000284981	9606.ENSP00000294785	0	0	0	0	0.062	0.896	0.900	0.972	0.999
NCSTN	NOTCH2	9606.ENSP00000294785	9606.ENSP00000256646	0	0	0	0	0.062	0.249	0.900	0.587	0.967
NCSTN	APH1B	9606.ENSP00000294785	9606.ENSP00000261879	0	0	0	0	0.065	0.646	0.900	0.965	0.998
NCSTN	NOTCH3	9606.ENSP00000294785	9606.ENSP00000263388	0	0	0	0	0.062	0.249	0.900	0.531	0.962
NCSTN	NOTCH1	9606.ENSP00000294785	9606.ENSP00000277541	0	0	0	0	0.058	0.249	0.900	0.898	0.991
NCSTN	APP	9606.ENSP00000294785	9606.ENSP00000284981	0	0	0	0	0.062	0.896	0.900	0.972	0.999
NCSTN	TRAF6	9606.ENSP00000294785	9606.ENSP00000433623	0	0	0	0	0.054	0	0.900	0	0.901
NCSTN	PSEN2	9606.ENSP00000294785	9606.ENSP00000355747	0	0	0	0	0.063	0.839	0.800	0.994	0.999
NCSTN	PSENEN	9606.ENSP00000294785	9606.ENSP00000468411	0	0	0	0	0.062	0.987	0.900	0.995	0.999
NCSTN	APH1A	9606.ENSP00000294785	9606.ENSP00000358105	0	0	0	0	0.088	0.985	0.900	0.995	0.999
NOTCH1	NOTCH2	9606.ENSP00000277541	9606.ENSP00000256646	0	0	0	0.951	0.107	0.073	0.800	0.975	0.828
NOTCH1	APH1B	9606.ENSP00000277541	9606.ENSP00000261879	0	0	0	0	0	0.104	0.900	0.539	0.955
NOTCH1	NOTCH3	9606.ENSP00000277541	9606.ENSP00000263388	0	0	0	0.943	0.065	0.365	0.600	0.976	0.756
NOTCH1	TRAF6	9606.ENSP00000277541	9606.ENSP00000433623	0	0	0	0	0	0.150	0	0.342	0.416
NOTCH1	PSENEN	9606.ENSP00000277541	9606.ENSP00000468411	0	0	0	0	0	0	0.900	0.690	0.967
NOTCH1	APH1A	9606.ENSP00000277541	9606.ENSP00000358105	0	0	0	0	0.076	0.104	0.900	0.706	0.972
NOTCH1	PSEN2	9606.ENSP00000277541	9606.ENSP00000355747	0	0	0	0	0.063	0.461	0.900	0.652	0.980
NOTCH1	APP	9606.ENSP00000277541	9606.ENSP00000284981	0	0	0	0	0.062	0.598	0	0.971	0.988
NOTCH1	NCSTN	9606.ENSP00000277541	9606.ENSP00000294785	0	0	0	0	0.058	0.249	0.900	0.898	0.991
NOTCH2	NOTCH3	9606.ENSP00000256646	9606.ENSP00000263388	0	0	0	0.944	0.062	0.248	0.600	0.897	0.708
NOTCH2	NOTCH1	9606.ENSP00000256646	9606.ENSP00000277541	0	0	0	0.951	0.107	0.073	0.800	0.975	0.828
NOTCH2	APP	9606.ENSP00000256646	9606.ENSP00000284981	0	0	0	0	0.062	0	0	0.915	0.917
NOTCH2	APH1B	9606.ENSP00000256646	9606.ENSP00000261879	0	0	0	0	0.059	0.104	0.900	0.256	0.928
NOTCH2	PSENEN	9606.ENSP00000256646	9606.ENSP00000468411	0	0	0	0	0	0	0.900	0.438	0.941
NOTCH2	APH1A	9606.ENSP00000256646	9606.ENSP00000358105	0	0	0	0	0.059	0.104	0.900	0.465	0.948
NOTCH2	NCSTN	9606.ENSP00000256646	9606.ENSP00000294785	0	0	0	0	0.062	0.249	0.900	0.587	0.967
NOTCH2	PSEN2	9606.ENSP00000256646	9606.ENSP00000355747	0	0	0	0	0.063	0.461	0.900	0.439	0.967
NOTCH3	NOTCH2	9606.ENSP00000263388	9606.ENSP00000256646	0	0	0	0.944	0.062	0.248	0.600	0.897	0.708
NOTCH3	APH1B	9606.ENSP00000263388	9606.ENSP00000261879	0	0	0	0	0	0.104	0.900	0.287	0.930
NOTCH3	APP	9606.ENSP00000263388	9606.ENSP00000284981	0	0	0	0	0.097	0	0	0.443	0.475
NOTCH3	NOTCH1	9606.ENSP00000263388	9606.ENSP00000277541	0	0	0	0.943	0.065	0.365	0.600	0.976	0.756
NOTCH3	PSENEN	9606.ENSP00000263388	9606.ENSP00000468411	0	0	0	0	0	0	0.900	0.339	0.931
NOTCH3	APH1A	9606.ENSP00000263388	9606.ENSP00000358105	0	0	0	0	0.062	0.104	0.900	0.413	0.944
NOTCH3	NCSTN	9606.ENSP00000263388	9606.ENSP00000294785	0	0	0	0	0.062	0.249	0.900	0.531	0.962
NOTCH3	PSEN2	9606.ENSP00000263388	9606.ENSP00000355747	0	0	0	0	0.063	0.461	0.900	0.635	0.979
PSEN2	NOTCH2	9606.ENSP00000355747	9606.ENSP00000256646	0	0	0	0	0.063	0.461	0.900	0.439	0.967
PSEN2	APH1B	9606.ENSP00000355747	9606.ENSP00000261879	0	0	0	0	0.066	0.661	0.800	0.808	0.986
PSEN2	NOTCH3	9606.ENSP00000355747	9606.ENSP00000263388	0	0	0	0	0.063	0.461	0.900	0.635	0.979
PSEN2	SRI	9606.ENSP00000355747	9606.ENSP00000265729	0	0	0	0	0	0.362	0	0.970	0.980
PSEN2	NOTCH1	9606.ENSP00000355747	9606.ENSP00000277541	0	0	0	0	0.063	0.461	0.900	0.652	0.980
PSEN2	APP	9606.ENSP00000355747	9606.ENSP00000284981	0	0	0	0	0.048	0.478	0	0.945	0.970
PSEN2	NCSTN	9606.ENSP00000355747	9606.ENSP00000294785	0	0	0	0	0.063	0.839	0.800	0.994	0.999
PSEN2	TRAF6	9606.ENSP00000355747	9606.ENSP00000433623	0	0	0	0	0	0.486	0.900	0.141	0.952
PSEN2	PSENEN	9606.ENSP00000355747	9606.ENSP00000468411	0	0	0	0	0.062	0.908	0.800	0.976	0.999
PSEN2	APH1A	9606.ENSP00000355747	9606.ENSP00000358105	0	0	0	0	0.066	0.786	0.800	0.984	0.999
PSENEN	NOTCH2	9606.ENSP00000468411	9606.ENSP00000256646	0	0	0	0	0	0	0.900	0.438	0.941
PSENEN	APH1B	9606.ENSP00000468411	9606.ENSP00000261879	0	0	0	0	0.088	0.519	0.900	0.947	0.997
PSENEN	NOTCH3	9606.ENSP00000468411	9606.ENSP00000263388	0	0	0	0	0	0	0.900	0.339	0.931
PSENEN	NOTCH1	9606.ENSP00000468411	9606.ENSP00000277541	0	0	0	0	0	0	0.900	0.690	0.967
PSENEN	APP	9606.ENSP00000468411	9606.ENSP00000284981	0	0	0	0	0	0.801	0.900	0.854	0.996
PSENEN	NCSTN	9606.ENSP00000468411	9606.ENSP00000294785	0	0	0	0	0.062	0.987	0.900	0.995	0.999
PSENEN	PSEN2	9606.ENSP00000468411	9606.ENSP00000355747	0	0	0	0	0.062	0.908	0.800	0.976	0.999
PSENEN	APH1A	9606.ENSP00000468411	9606.ENSP00000358105	0	0	0	0	0.088	0.984	0.900	0.995	0.999
PSENEN	TRAF6	9606.ENSP00000468411	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0	0.900
SRI	PSEN2	9606.ENSP00000265729	9606.ENSP00000355747	0	0	0	0	0	0.362	0	0.970	0.980
TRAF6	APH1B	9606.ENSP00000433623	9606.ENSP00000261879	0	0	0	0	0	0	0.900	0	0.900
TRAF6	NOTCH1	9606.ENSP00000433623	9606.ENSP00000277541	0	0	0	0	0	0.150	0	0.342	0.416
TRAF6	NCSTN	9606.ENSP00000433623	9606.ENSP00000294785	0	0	0	0	0.054	0	0.900	0	0.901
TRAF6	PSEN2	9606.ENSP00000433623	9606.ENSP00000355747	0	0	0	0	0	0.486	0.900	0.141	0.952
TRAF6	APH1A	9606.ENSP00000433623	9606.ENSP00000358105	0	0	0	0	0	0	0.900	0	0.900
TRAF6	PSENEN	9606.ENSP00000433623	9606.ENSP00000468411	0	0	0	0	0	0	0.900	0	0.900
