Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANPEP	RTN4R	9606.ENSP00000300060	9606.ENSP00000043402	0	0	0	0	0	0	0	0.989	0.989
ANPEP	NGFR	9606.ENSP00000300060	9606.ENSP00000172229	0	0	0	0	0	0	0	0.481	0.481
ANPEP	TNF	9606.ENSP00000300060	9606.ENSP00000398698	0	0	0	0	0.062	0	0	0.619	0.627
APP	RTN4R	9606.ENSP00000284981	9606.ENSP00000043402	0	0	0	0	0.080	0.056	0	0.966	0.968
APP	NGFR	9606.ENSP00000284981	9606.ENSP00000172229	0	0	0	0	0.069	0.718	0.900	0.820	0.994
APP	MAG	9606.ENSP00000284981	9606.ENSP00000376048	0	0	0	0	0.079	0	0	0.390	0.414
APP	RHOA	9606.ENSP00000284981	9606.ENSP00000400175	0	0	0	0	0.044	0.169	0	0.389	0.472
APP	RTN4	9606.ENSP00000284981	9606.ENSP00000337838	0	0	0	0	0.093	0	0	0.564	0.588
APP	TNF	9606.ENSP00000284981	9606.ENSP00000398698	0	0	0	0	0	0.102	0	0.664	0.686
APP	LINGO1	9606.ENSP00000284981	9606.ENSP00000347451	0	0	0	0	0.095	0.372	0	0.692	0.810
LINGO1	RTN4R	9606.ENSP00000347451	9606.ENSP00000043402	0	0	0	0.594	0.157	0.486	0.900	0.989	0.971
LINGO1	NGFR	9606.ENSP00000347451	9606.ENSP00000172229	0	0	0	0	0.098	0.680	0.900	0.988	0.999
LINGO1	OMG	9606.ENSP00000347451	9606.ENSP00000247271	0	0	0	0.558	0.065	0	0.900	0.896	0.940
LINGO1	APP	9606.ENSP00000347451	9606.ENSP00000284981	0	0	0	0	0.095	0.372	0	0.692	0.810
LINGO1	RTN4	9606.ENSP00000347451	9606.ENSP00000337838	0	0	0	0	0.063	0.078	0.900	0.980	0.998
LINGO1	RHOA	9606.ENSP00000347451	9606.ENSP00000400175	0	0	0	0	0	0.125	0.900	0.624	0.964
LINGO1	MAG	9606.ENSP00000347451	9606.ENSP00000376048	0	0	0	0	0.230	0.097	0.900	0.780	0.982
LINGO1	TNFRSF19	9606.ENSP00000347451	9606.ENSP00000371693	0	0	0	0	0.062	0	0	0.986	0.987
