Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APOL4	C15orf26	9606.ENSP00000338260	9606.ENSP00000286732	0	0	0	0	0	0	0	0.459	0.459
APOL4	OR10H5	9606.ENSP00000338260	9606.ENSP00000310704	0	0	0	0	0	0	0	0.504	0.504
APOL4	OR10H1	9606.ENSP00000338260	9606.ENSP00000335596	0	0	0	0	0	0	0	0.460	0.459
APOL4	PRODH	9606.ENSP00000338260	9606.ENSP00000481127	0	0	0	0	0	0	0	0.434	0.434
APOL4	LDLRAD1	9606.ENSP00000338260	9606.ENSP00000360411	0	0	0	0	0	0	0	0.437	0.437
APOL4	POX2	9606.ENSP00000338260	9606.ENSP00000349577	0	0	0	0	0	0	0	0.438	0.438
APOL4	CHRM4	9606.ENSP00000338260	9606.ENSP00000409378	0	0	0	0	0	0	0	0.439	0.439
APOL4	APOO	9606.ENSP00000338260	9606.ENSP00000368528	0	0	0	0	0	0	0	0.467	0.467
APOL4	NPIPB9	9606.ENSP00000338260	9606.ENSP00000446902	0	0	0	0	0	0	0	0.509	0.509
APOL4	COMT	9606.ENSP00000338260	9606.ENSP00000354511	0	0	0	0	0	0	0	0.725	0.725
APOO	APOL4	9606.ENSP00000368528	9606.ENSP00000338260	0	0	0	0	0	0	0	0.467	0.467
C15orf26	APOL4	9606.ENSP00000286732	9606.ENSP00000338260	0	0	0	0	0	0	0	0.459	0.459
CHRM4	APOL4	9606.ENSP00000409378	9606.ENSP00000338260	0	0	0	0	0	0	0	0.439	0.439
COMT	APOL4	9606.ENSP00000354511	9606.ENSP00000338260	0	0	0	0	0	0	0	0.725	0.725
COMT	POX2	9606.ENSP00000354511	9606.ENSP00000349577	0.052	0	0	0	0.062	0	0	0.778	0.785
COMT	PRODH	9606.ENSP00000354511	9606.ENSP00000481127	0.052	0	0	0	0.062	0	0	0.795	0.802
LDLRAD1	APOL4	9606.ENSP00000360411	9606.ENSP00000338260	0	0	0	0	0	0	0	0.437	0.437
NPIPB9	OR10H5	9606.ENSP00000446902	9606.ENSP00000310704	0	0	0	0	0	0	0	0.651	0.651
NPIPB9	OR10H1	9606.ENSP00000446902	9606.ENSP00000335596	0	0	0	0	0	0	0	0.604	0.604
NPIPB9	APOL4	9606.ENSP00000446902	9606.ENSP00000338260	0	0	0	0	0	0	0	0.509	0.509
OR10H1	APOL4	9606.ENSP00000335596	9606.ENSP00000338260	0	0	0	0	0	0	0	0.460	0.459
OR10H1	NPIPB9	9606.ENSP00000335596	9606.ENSP00000446902	0	0	0	0	0	0	0	0.604	0.604
OR10H5	APOL4	9606.ENSP00000310704	9606.ENSP00000338260	0	0	0	0	0	0	0	0.504	0.504
OR10H5	NPIPB9	9606.ENSP00000310704	9606.ENSP00000446902	0	0	0	0	0	0	0	0.651	0.651
POX2	APOL4	9606.ENSP00000349577	9606.ENSP00000338260	0	0	0	0	0	0	0	0.438	0.438
POX2	COMT	9606.ENSP00000349577	9606.ENSP00000354511	0.052	0	0	0	0.062	0	0	0.778	0.785
POX2	PRODH	9606.ENSP00000349577	9606.ENSP00000481127	0	0	0.449	0.988	0	0	0.800	0	0.801
PRODH	APOL4	9606.ENSP00000481127	9606.ENSP00000338260	0	0	0	0	0	0	0	0.434	0.434
PRODH	POX2	9606.ENSP00000481127	9606.ENSP00000349577	0	0	0.449	0.988	0	0	0.800	0	0.801
PRODH	COMT	9606.ENSP00000481127	9606.ENSP00000354511	0.052	0	0	0	0.062	0	0	0.795	0.802
