#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DLG4	HTR2C	9606.ENSP00000382428	9606.ENSP00000276198	0	0	0	0	0.088	0.281	0	0.714	0.796
DLG4	GRM3	9606.ENSP00000382428	9606.ENSP00000355316	0	0	0	0	0.107	0.262	0	0.334	0.523
DLG4	GRM2	9606.ENSP00000382428	9606.ENSP00000378492	0	0	0	0	0.107	0.222	0	0.490	0.615
DLG4	HTR2A	9606.ENSP00000382428	9606.ENSP00000437737	0	0	0	0	0.098	0.281	0	0.747	0.822
GNA11	HTR2A	9606.ENSP00000078429	9606.ENSP00000437737	0	0	0	0	0	0.303	0.800	0.158	0.872
GNA11	HTR2B	9606.ENSP00000078429	9606.ENSP00000258400	0	0	0	0	0	0.303	0.800	0.180	0.875
GNA11	HTR2C	9606.ENSP00000078429	9606.ENSP00000276198	0	0	0	0	0	0.151	0.800	0.490	0.905
GNA11	GNAQ	9606.ENSP00000078429	9606.ENSP00000286548	0	0	0	0.984	0	0.394	0.900	0.870	0.937
GNAQ	GNA11	9606.ENSP00000286548	9606.ENSP00000078429	0	0	0	0.984	0	0.394	0.900	0.870	0.937
GNAQ	HTR2B	9606.ENSP00000286548	9606.ENSP00000258400	0	0	0	0	0	0.303	0.800	0.561	0.933
GNAQ	HTR2C	9606.ENSP00000286548	9606.ENSP00000276198	0	0	0	0	0.062	0.303	0.800	0.807	0.971
GNAQ	GRM2	9606.ENSP00000286548	9606.ENSP00000378492	0	0	0	0	0	0.213	0	0.476	0.570
GNAQ	HTR2A	9606.ENSP00000286548	9606.ENSP00000437737	0	0	0	0	0	0.303	0.800	0.971	0.995
GRM2	TPH1	9606.ENSP00000378492	9606.ENSP00000250018	0	0	0	0	0.063	0	0	0.398	0.411
GRM2	HTR2B	9606.ENSP00000378492	9606.ENSP00000258400	0	0	0	0	0	0.056	0	0.701	0.706
GRM2	SLC6A4	9606.ENSP00000378492	9606.ENSP00000261707	0	0	0	0	0.052	0	0	0.399	0.406
GRM2	HTR2C	9606.ENSP00000378492	9606.ENSP00000276198	0	0	0	0	0.089	0.056	0	0.510	0.542
GRM2	GNAQ	9606.ENSP00000378492	9606.ENSP00000286548	0	0	0	0	0	0.213	0	0.476	0.570
GRM2	GRM3	9606.ENSP00000378492	9606.ENSP00000355316	0	0	0	0.974	0.096	0	0.800	0.974	0.816
GRM2	DLG4	9606.ENSP00000378492	9606.ENSP00000382428	0	0	0	0	0.107	0.222	0	0.490	0.615
GRM2	HTR2A	9606.ENSP00000378492	9606.ENSP00000437737	0	0	0	0	0.075	0.392	0	0.989	0.993
GRM3	DLG4	9606.ENSP00000355316	9606.ENSP00000382428	0	0	0	0	0.107	0.262	0	0.334	0.523
GRM3	GRM2	9606.ENSP00000355316	9606.ENSP00000378492	0	0	0	0.974	0.096	0	0.800	0.974	0.816
GRM3	HTR2A	9606.ENSP00000355316	9606.ENSP00000437737	0	0	0	0	0.130	0.121	0	0.789	0.825
HTR2A	GNA11	9606.ENSP00000437737	9606.ENSP00000078429	0	0	0	0	0	0.303	0.800	0.158	0.872
HTR2A	TPH1	9606.ENSP00000437737	9606.ENSP00000250018	0	0	0	0	0	0	0	0.806	0.806
HTR2A	HTR2B	9606.ENSP00000437737	9606.ENSP00000258400	0	0	0	0.906	0	0.312	0.800	0.916	0.868
HTR2A	SLC6A4	9606.ENSP00000437737	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.912	0.914
HTR2A	HTR2C	9606.ENSP00000437737	9606.ENSP00000276198	0	0	0	0.937	0.085	0.621	0.800	0.919	0.928
HTR2A	GNAQ	9606.ENSP00000437737	9606.ENSP00000286548	0	0	0	0	0	0.303	0.800	0.971	0.995
HTR2A	MAOA	9606.ENSP00000437737	9606.ENSP00000340684	0	0	0	0	0	0	0	0.782	0.782
HTR2A	GRM3	9606.ENSP00000437737	9606.ENSP00000355316	0	0	0	0	0.130	0.121	0	0.789	0.825
HTR2A	GRM2	9606.ENSP00000437737	9606.ENSP00000378492	0	0	0	0	0.075	0.392	0	0.989	0.993
HTR2A	DLG4	9606.ENSP00000437737	9606.ENSP00000382428	0	0	0	0	0.098	0.281	0	0.747	0.822
HTR2B	GNA11	9606.ENSP00000258400	9606.ENSP00000078429	0	0	0	0	0	0.303	0.800	0.180	0.875
HTR2B	TPH1	9606.ENSP00000258400	9606.ENSP00000250018	0	0	0	0	0	0	0	0.692	0.692
HTR2B	MAOA	9606.ENSP00000258400	9606.ENSP00000340684	0	0	0	0	0	0	0	0.564	0.564
HTR2B	GRM2	9606.ENSP00000258400	9606.ENSP00000378492	0	0	0	0	0	0.056	0	0.701	0.706
HTR2B	SLC6A4	9606.ENSP00000258400	9606.ENSP00000261707	0	0	0	0	0	0.057	0	0.760	0.764
HTR2B	HTR2A	9606.ENSP00000258400	9606.ENSP00000437737	0	0	0	0.906	0	0.312	0.800	0.916	0.868
HTR2B	HTR2C	9606.ENSP00000258400	9606.ENSP00000276198	0	0	0	0.909	0	0.312	0.800	0.889	0.868
HTR2B	GNAQ	9606.ENSP00000258400	9606.ENSP00000286548	0	0	0	0	0	0.303	0.800	0.561	0.933
HTR2C	GNA11	9606.ENSP00000276198	9606.ENSP00000078429	0	0	0	0	0	0.151	0.800	0.490	0.905
HTR2C	TPH1	9606.ENSP00000276198	9606.ENSP00000250018	0	0	0	0	0.062	0	0	0.769	0.774
