Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARL6IP5	SLC1A1	9606.ENSP00000273258	9606.ENSP00000262352	0	0	0	0	0	0.270	0	0.968	0.976
HCCS	SLC1A6	9606.ENSP00000326579	9606.ENSP00000221742	0	0	0	0	0	0.248	0	0.253	0.414
HCCS	SLC1A1	9606.ENSP00000326579	9606.ENSP00000262352	0	0	0	0	0	0.400	0	0.642	0.776
SLC15A1	SLC1A6	9606.ENSP00000365686	9606.ENSP00000221742	0	0	0	0	0.062	0	0	0.641	0.649
SLC15A1	SLC38A2	9606.ENSP00000365686	9606.ENSP00000256689	0	0	0	0	0.064	0.078	0	0.417	0.453
SLC15A1	SLC3A1	9606.ENSP00000365686	9606.ENSP00000260649	0	0	0	0	0.118	0	0	0.680	0.706
SLC15A1	SLC7A5	9606.ENSP00000365686	9606.ENSP00000261622	0	0	0	0	0.062	0	0	0.473	0.485
SLC15A1	SLC1A1	9606.ENSP00000365686	9606.ENSP00000262352	0	0	0	0	0.062	0	0	0.814	0.818
SLC15A1	SLC6A19	9606.ENSP00000365686	9606.ENSP00000305302	0	0	0	0	0.096	0	0	0.661	0.680
SLC15A1	SLC3A2	9606.ENSP00000365686	9606.ENSP00000367123	0	0	0	0	0	0	0	0.499	0.499
SLC1A1	SLC1A6	9606.ENSP00000262352	9606.ENSP00000221742	0	0	0.448	0.940	0	0	0.800	0.920	0.815
SLC1A1	SLC38A2	9606.ENSP00000262352	9606.ENSP00000256689	0	0	0	0	0.064	0.066	0	0.824	0.833
SLC1A1	SLC3A1	9606.ENSP00000262352	9606.ENSP00000260649	0	0	0	0	0.064	0	0	0.808	0.813
SLC1A1	SLC7A5	9606.ENSP00000262352	9606.ENSP00000261622	0	0	0	0	0.058	0.061	0	0.788	0.796
SLC1A1	HCCS	9606.ENSP00000262352	9606.ENSP00000326579	0	0	0	0	0	0.400	0	0.642	0.776
SLC1A1	SLC6A19	9606.ENSP00000262352	9606.ENSP00000305302	0.047	0	0	0	0.062	0	0	0.793	0.799
SLC1A1	SLC3A2	9606.ENSP00000262352	9606.ENSP00000367123	0	0	0	0	0	0	0	0.803	0.803
SLC1A1	SLC6A1	9606.ENSP00000262352	9606.ENSP00000287766	0.047	0	0	0	0.101	0	0	0.791	0.806
SLC1A1	SLC15A1	9606.ENSP00000262352	9606.ENSP00000365686	0	0	0	0	0.062	0	0	0.814	0.818
SLC1A1	ARL6IP5	9606.ENSP00000262352	9606.ENSP00000273258	0	0	0	0	0	0.270	0	0.968	0.976
SLC1A6	HCCS	9606.ENSP00000221742	9606.ENSP00000326579	0	0	0	0	0	0.248	0	0.253	0.414
SLC1A6	SLC6A1	9606.ENSP00000221742	9606.ENSP00000287766	0.047	0	0	0	0.100	0	0	0.514	0.546
SLC1A6	SLC15A1	9606.ENSP00000221742	9606.ENSP00000365686	0	0	0	0	0.062	0	0	0.641	0.649
SLC1A6	SLC6A19	9606.ENSP00000221742	9606.ENSP00000305302	0.047	0	0	0	0.049	0	0	0.668	0.673
SLC1A6	SLC3A1	9606.ENSP00000221742	9606.ENSP00000260649	0	0	0	0	0.062	0	0	0.672	0.680
SLC1A6	SLC7A5	9606.ENSP00000221742	9606.ENSP00000261622	0	0	0	0	0.058	0.061	0	0.686	0.698
SLC1A6	SLC3A2	9606.ENSP00000221742	9606.ENSP00000367123	0	0	0	0	0	0	0	0.732	0.732
SLC1A6	SLC38A2	9606.ENSP00000221742	9606.ENSP00000256689	0	0	0	0	0.064	0.066	0	0.736	0.749
SLC1A6	SLC1A1	9606.ENSP00000221742	9606.ENSP00000262352	0	0	0.448	0.940	0	0	0.800	0.920	0.815
SLC38A2	SLC1A6	9606.ENSP00000256689	9606.ENSP00000221742	0	0	0	0	0.064	0.066	0	0.736	0.749
SLC38A2	SLC15A1	9606.ENSP00000256689	9606.ENSP00000365686	0	0	0	0	0.064	0.078	0	0.417	0.453
SLC38A2	SLC3A1	9606.ENSP00000256689	9606.ENSP00000260649	0	0	0	0	0.049	0	0	0.518	0.522
SLC38A2	SLC6A19	9606.ENSP00000256689	9606.ENSP00000305302	0	0	0	0	0.062	0	0	0.595	0.603
SLC38A2	SLC3A2	9606.ENSP00000256689	9606.ENSP00000367123	0	0	0	0	0.046	0	0	0.705	0.707
SLC38A2	SLC7A5	9606.ENSP00000256689	9606.ENSP00000261622	0	0	0	0	0.080	0.060	0	0.782	0.795
SLC38A2	SLC1A1	9606.ENSP00000256689	9606.ENSP00000262352	0	0	0	0	0.064	0.066	0	0.824	0.833
SLC3A1	SLC1A6	9606.ENSP00000260649	9606.ENSP00000221742	0	0	0	0	0.062	0	0	0.672	0.680
SLC3A1	SLC38A2	9606.ENSP00000260649	9606.ENSP00000256689	0	0	0	0	0.049	0	0	0.518	0.522
SLC3A1	SLC3A2	9606.ENSP00000260649	9606.ENSP00000367123	0	0	0.410	0.607	0	0	0	0.942	0.487
SLC3A1	SLC15A1	9606.ENSP00000260649	9606.ENSP00000365686	0	0	0	0	0.118	0	0	0.680	0.706
SLC3A1	SLC6A19	9606.ENSP00000260649	9606.ENSP00000305302	0	0	0	0	0.115	0	0	0.728	0.749
SLC3A1	SLC7A5	9606.ENSP00000260649	9606.ENSP00000261622	0	0	0	0	0.061	0.168	0	0.709	0.753
SLC3A1	SLC1A1	9606.ENSP00000260649	9606.ENSP00000262352	0	0	0	0	0.064	0	0	0.808	0.813
SLC3A2	SLC1A6	9606.ENSP00000367123	9606.ENSP00000221742	0	0	0	0	0	0	0	0.732	0.732
SLC3A2	SLC38A2	9606.ENSP00000367123	9606.ENSP00000256689	0	0	0	0	0.046	0	0	0.705	0.707
SLC3A2	SLC3A1	9606.ENSP00000367123	9606.ENSP00000260649	0	0	0.410	0.607	0	0	0	0.942	0.487
SLC3A2	SLC7A5	9606.ENSP00000367123	9606.ENSP00000261622	0	0	0	0	0.538	0.975	0.900	0.990	0.999
SLC3A2	SLC1A1	9606.ENSP00000367123	9606.ENSP00000262352	0	0	0	0	0	0	0	0.803	0.803
SLC3A2	SLC6A19	9606.ENSP00000367123	9606.ENSP00000305302	0	0	0	0	0	0	0	0.526	0.526
SLC3A2	SLC15A1	9606.ENSP00000367123	9606.ENSP00000365686	0	0	0	0	0	0	0	0.499	0.499
SLC6A1	SLC1A6	9606.ENSP00000287766	9606.ENSP00000221742	0.047	0	0	0	0.100	0	0	0.514	0.546
SLC6A1	SLC1A1	9606.ENSP00000287766	9606.ENSP00000262352	0.047	0	0	0	0.101	0	0	0.791	0.806
SLC6A19	SLC1A6	9606.ENSP00000305302	9606.ENSP00000221742	0.047	0	0	0	0.049	0	0	0.668	0.673
SLC6A19	SLC38A2	9606.ENSP00000305302	9606.ENSP00000256689	0	0	0	0	0.062	0	0	0.595	0.603
SLC6A19	SLC3A1	9606.ENSP00000305302	9606.ENSP00000260649	0	0	0	0	0.115	0	0	0.728	0.749
SLC6A19	SLC7A5	9606.ENSP00000305302	9606.ENSP00000261622	0.041	0	0	0	0	0.057	0	0.509	0.518
SLC6A19	SLC1A1	9606.ENSP00000305302	9606.ENSP00000262352	0.047	0	0	0	0.062	0	0	0.793	0.799
SLC6A19	SLC3A2	9606.ENSP00000305302	9606.ENSP00000367123	0	0	0	0	0	0	0	0.526	0.526
SLC6A19	SLC15A1	9606.ENSP00000305302	9606.ENSP00000365686	0	0	0	0	0.096	0	0	0.661	0.680
SLC7A5	SLC1A6	9606.ENSP00000261622	9606.ENSP00000221742	0	0	0	0	0.058	0.061	0	0.686	0.698
SLC7A5	SLC38A2	9606.ENSP00000261622	9606.ENSP00000256689	0	0	0	0	0.080	0.060	0	0.782	0.795
SLC7A5	SLC3A1	9606.ENSP00000261622	9606.ENSP00000260649	0	0	0	0	0.061	0.168	0	0.709	0.753
SLC7A5	SLC15A1	9606.ENSP00000261622	9606.ENSP00000365686	0	0	0	0	0.062	0	0	0.473	0.485
SLC7A5	SLC6A19	9606.ENSP00000261622	9606.ENSP00000305302	0.041	0	0	0	0	0.057	0	0.509	0.518
SLC7A5	SLC1A1	9606.ENSP00000261622	9606.ENSP00000262352	0	0	0	0	0.058	0.061	0	0.788	0.796
SLC7A5	SLC3A2	9606.ENSP00000261622	9606.ENSP00000367123	0	0	0	0	0.538	0.975	0.900	0.990	0.999
