Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADK	DAZAP1	9606.ENSP00000286621	9606.ENSP00000233078	0	0	0	0	0	0.603	0	0.142	0.644
ADK	RBM12	9606.ENSP00000286621	9606.ENSP00000363228	0	0	0	0	0	0.681	0	0	0.681
AKTIP	RBM12	9606.ENSP00000378152	9606.ENSP00000363228	0	0	0	0	0.586	0	0	0	0.586
AKTIP	CHEK2	9606.ENSP00000378152	9606.ENSP00000372023	0	0	0	0	0.653	0	0	0	0.653
CHEK2	RBM12	9606.ENSP00000372023	9606.ENSP00000363228	0	0	0	0	0.642	0	0	0	0.642
CHEK2	AKTIP	9606.ENSP00000372023	9606.ENSP00000378152	0	0	0	0	0.653	0	0	0	0.653
CPNE1	RBM12	9606.ENSP00000317257	9606.ENSP00000363228	0	0.074	0	0	0	0	0	0.580	0.594
DAZAP1	SNX3	9606.ENSP00000233078	9606.ENSP00000230085	0	0	0	0	0	0.528	0	0	0.528
DAZAP1	ADK	9606.ENSP00000233078	9606.ENSP00000286621	0	0	0	0	0	0.603	0	0.142	0.644
DAZAP1	RBM12	9606.ENSP00000233078	9606.ENSP00000363228	0	0	0	0	0.225	0.666	0	0.101	0.747
FAM193A	PNISR	9606.ENSP00000324587	9606.ENSP00000358242	0	0	0	0	0.063	0	0	0.608	0.617
FAM193A	RBM12	9606.ENSP00000324587	9606.ENSP00000363228	0	0	0	0	0.064	0	0	0.636	0.644
FAM193A	QSER1	9606.ENSP00000324587	9606.ENSP00000382241	0	0	0	0	0.063	0	0	0.751	0.756
PDZD8	RBM12	9606.ENSP00000334642	9606.ENSP00000363228	0	0	0	0	0	0	0	0.596	0.596
PNISR	FAM193A	9606.ENSP00000358242	9606.ENSP00000324587	0	0	0	0	0.063	0	0	0.608	0.617
PNISR	RBM12	9606.ENSP00000358242	9606.ENSP00000363228	0	0	0	0	0.068	0	0	0.544	0.557
PNISR	QSER1	9606.ENSP00000358242	9606.ENSP00000382241	0	0	0	0	0.063	0	0	0.570	0.580
QSER1	FAM193A	9606.ENSP00000382241	9606.ENSP00000324587	0	0	0	0	0.063	0	0	0.751	0.756
QSER1	PNISR	9606.ENSP00000382241	9606.ENSP00000358242	0	0	0	0	0.063	0	0	0.570	0.580
QSER1	RBM12	9606.ENSP00000382241	9606.ENSP00000363228	0	0	0	0	0.083	0	0	0.556	0.576
RBM12	SNX3	9606.ENSP00000363228	9606.ENSP00000230085	0	0	0	0	0	0.679	0	0	0.679
RBM12	DAZAP1	9606.ENSP00000363228	9606.ENSP00000233078	0	0	0	0	0.225	0.666	0	0.101	0.747
RBM12	ADK	9606.ENSP00000363228	9606.ENSP00000286621	0	0	0	0	0	0.681	0	0	0.681
RBM12	CPNE1	9606.ENSP00000363228	9606.ENSP00000317257	0	0.074	0	0	0	0	0	0.580	0.594
RBM12	FAM193A	9606.ENSP00000363228	9606.ENSP00000324587	0	0	0	0	0.064	0	0	0.636	0.644
RBM12	PDZD8	9606.ENSP00000363228	9606.ENSP00000334642	0	0	0	0	0	0	0	0.596	0.596
RBM12	PNISR	9606.ENSP00000363228	9606.ENSP00000358242	0	0	0	0	0.068	0	0	0.544	0.557
RBM12	QSER1	9606.ENSP00000363228	9606.ENSP00000382241	0	0	0	0	0.083	0	0	0.556	0.576
RBM12	AKTIP	9606.ENSP00000363228	9606.ENSP00000378152	0	0	0	0	0.586	0	0	0	0.586
RBM12	CHEK2	9606.ENSP00000363228	9606.ENSP00000372023	0	0	0	0	0.642	0	0	0	0.642
SNX3	DAZAP1	9606.ENSP00000230085	9606.ENSP00000233078	0	0	0	0	0	0.528	0	0	0.528
SNX3	RBM12	9606.ENSP00000230085	9606.ENSP00000363228	0	0	0	0	0	0.679	0	0	0.679
