Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	KNG1	9606.ENSP00000451828	9606.ENSP00000265023	0	0	0	0	0.063	0	0	0.556	0.566
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0.049	0.879	0.900	0.988	0.999
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.062	0.946	0.900	0.991	0.999
AKT1	CAV1	9606.ENSP00000451828	9606.ENSP00000339191	0	0	0	0	0	0.058	0.900	0.755	0.975
AKT1	CAV3	9606.ENSP00000451828	9606.ENSP00000341940	0	0	0	0	0	0.076	0	0.490	0.509
AKT1	CALM1	9606.ENSP00000451828	9606.ENSP00000349467	0	0	0	0	0	0.122	0	0.352	0.407
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.297	0.900	0.805	0.985
AKT1	VEGFA	9606.ENSP00000451828	9606.ENSP00000478570	0	0	0	0	0.063	0.213	0	0.871	0.896
BDKRB2	KNG1	9606.ENSP00000450482	9606.ENSP00000265023	0	0	0	0	0	0.270	0.900	0.981	0.998
BDKRB2	NOS3	9606.ENSP00000450482	9606.ENSP00000297494	0	0	0	0	0	0.213	0.900	0.829	0.985
CALM1	CALM2	9606.ENSP00000349467	9606.ENSP00000272298	0	0	0.449	0.985	0.111	0.800	0	0.578	0.817
CALM1	NOS3	9606.ENSP00000349467	9606.ENSP00000297494	0	0	0	0	0	0.978	0	0.892	0.997
CALM1	HSP90AA1	9606.ENSP00000349467	9606.ENSP00000335153	0	0	0	0	0.049	0.473	0	0.456	0.704
CALM1	CAV1	9606.ENSP00000349467	9606.ENSP00000339191	0	0	0	0	0	0	0	0.461	0.461
CALM1	CAV3	9606.ENSP00000349467	9606.ENSP00000341940	0	0	0	0	0.062	0.056	0	0.413	0.435
CALM1	AKT1	9606.ENSP00000349467	9606.ENSP00000451828	0	0	0	0	0	0.122	0	0.352	0.407
CALM1	ESR1	9606.ENSP00000349467	9606.ENSP00000405330	0	0	0	0	0	0.849	0	0.523	0.925
CALM2	CALM1	9606.ENSP00000272298	9606.ENSP00000349467	0	0	0.449	0.985	0.111	0.800	0	0.578	0.817
