Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AMT	MTHFD1	9606.ENSP00000273588	9606.ENSP00000216605	0.111	0	0	0	0.112	0.244	0.900	0.634	0.974
AMT	MTRR	9606.ENSP00000273588	9606.ENSP00000264668	0	0	0	0	0.084	0	0	0.516	0.537
AMT	MTR	9606.ENSP00000273588	9606.ENSP00000355536	0.053	0	0	0	0.063	0	0.900	0.455	0.945
AMT	TYMS	9606.ENSP00000273588	9606.ENSP00000315644	0.115	0	0	0	0.064	0.056	0.900	0.572	0.960
AMT	MTHFR	9606.ENSP00000273588	9606.ENSP00000365777	0.166	0	0	0	0.084	0	0.900	0.705	0.974
AMT	MTHFD2L	9606.ENSP00000273588	9606.ENSP00000379108	0.111	0	0	0	0.522	0	0.900	0.574	0.979
AMT	MTHFD2	9606.ENSP00000273588	9606.ENSP00000377617	0.111	0	0	0	0.522	0	0.900	0.591	0.980
AMT	SHMT1	9606.ENSP00000273588	9606.ENSP00000318868	0.111	0.020	0	0	0.481	0.711	0.900	0.785	0.996
AMT	SHMT2	9606.ENSP00000273588	9606.ENSP00000333667	0.111	0	0	0	0.481	0.711	0.900	0.808	0.996
BHMT	MTHFD1	9606.ENSP00000274353	9606.ENSP00000216605	0.041	0	0	0	0.062	0	0	0.754	0.759
BHMT	MTRR	9606.ENSP00000274353	9606.ENSP00000264668	0	0	0	0	0.062	0	0	0.793	0.797
BHMT	MTHFD2	9606.ENSP00000274353	9606.ENSP00000377617	0.047	0	0	0	0	0	0	0.486	0.490
BHMT	TYMS	9606.ENSP00000274353	9606.ENSP00000315644	0	0	0	0	0	0	0	0.604	0.604
BHMT	SHMT2	9606.ENSP00000274353	9606.ENSP00000333667	0.049	0	0	0	0.062	0	0	0.672	0.682
BHMT	SHMT1	9606.ENSP00000274353	9606.ENSP00000318868	0.049	0	0	0	0.062	0	0	0.754	0.762
BHMT	MTR	9606.ENSP00000274353	9606.ENSP00000355536	0	0	0	0.567	0	0	0.800	0.878	0.875
BHMT	MTHFR	9606.ENSP00000274353	9606.ENSP00000365777	0.185	0	0	0	0.117	0.241	0	0.846	0.904
MTHFD1	BHMT	9606.ENSP00000216605	9606.ENSP00000274353	0.041	0	0	0	0.062	0	0	0.754	0.759
MTHFD1	MTRR	9606.ENSP00000216605	9606.ENSP00000264668	0.071	0	0	0	0.063	0	0	0.858	0.866
MTHFD1	MTHFD2L	9606.ENSP00000216605	9606.ENSP00000379108	0.167	0	0	0.829	0.166	0	0.900	0.764	0.934
MTHFD1	MTHFD2	9606.ENSP00000216605	9606.ENSP00000377617	0.167	0	0	0.835	0.187	0	0.900	0.948	0.937
MTHFD1	AMT	9606.ENSP00000216605	9606.ENSP00000273588	0.111	0	0	0	0.112	0.244	0.900	0.634	0.974
MTHFD1	MTR	9606.ENSP00000216605	9606.ENSP00000355536	0.041	0	0	0	0.062	0	0.900	0.851	0.984
MTHFD1	TYMS	9606.ENSP00000216605	9606.ENSP00000315644	0.208	0	0	0	0.159	0	0.900	0.844	0.988
MTHFD1	MTHFR	9606.ENSP00000216605	9606.ENSP00000365777	0.219	0	0	0	0.062	0	0.900	0.899	0.991
MTHFD1	SHMT2	9606.ENSP00000216605	9606.ENSP00000333667	0.167	0	0	0	0.206	0.532	0.900	0.826	0.993
MTHFD1	SHMT1	9606.ENSP00000216605	9606.ENSP00000318868	0.167	0	0	0	0.173	0.532	0.900	0.909	0.996
MTHFD2	MTHFD1	9606.ENSP00000377617	9606.ENSP00000216605	0.167	0	0	0.835	0.187	0	0.900	0.948	0.937
MTHFD2	MTRR	9606.ENSP00000377617	9606.ENSP00000264668	0.074	0	0	0	0	0	0	0.680	0.691
MTHFD2	AMT	9606.ENSP00000377617	9606.ENSP00000273588	0.111	0	0	0	0.522	0	0.900	0.591	0.980
MTHFD2	BHMT	9606.ENSP00000377617	9606.ENSP00000274353	0.047	0	0	0	0	0	0	0.486	0.490
MTHFD2	TYMS	9606.ENSP00000377617	9606.ENSP00000315644	0.214	0	0	0	0.140	0.058	0.900	0.649	0.973
MTHFD2	SHMT1	9606.ENSP00000377617	9606.ENSP00000318868	0.167	0	0.215	0	0.488	0	0.900	0.780	0.991
MTHFD2	SHMT2	9606.ENSP00000377617	9606.ENSP00000333667	0.167	0	0.229	0	0.542	0	0.900	0.820	0.993
MTHFD2	MTR	9606.ENSP00000377617	9606.ENSP00000355536	0.047	0	0	0	0	0	0	0.562	0.565
MTHFD2	MTHFR	9606.ENSP00000377617	9606.ENSP00000365777	0.219	0	0	0	0.128	0	0.900	0.703	0.977
MTHFD2	MTHFD2L	9606.ENSP00000377617	9606.ENSP00000379108	0	0	0.448	0.970	0	0.615	0.900	0.749	0.961
MTHFD2L	MTHFD1	9606.ENSP00000379108	9606.ENSP00000216605	0.167	0	0	0.829	0.166	0	0.900	0.764	0.934
MTHFD2L	AMT	9606.ENSP00000379108	9606.ENSP00000273588	0.111	0	0	0	0.522	0	0.900	0.574	0.979
MTHFD2L	TYMS	9606.ENSP00000379108	9606.ENSP00000315644	0.214	0	0	0	0.079	0.058	0.900	0.519	0.961
MTHFD2L	SHMT1	9606.ENSP00000379108	9606.ENSP00000318868	0.167	0	0.213	0	0.488	0	0.900	0.748	0.990
MTHFD2L	SHMT2	9606.ENSP00000379108	9606.ENSP00000333667	0.167	0	0.225	0	0.488	0	0.900	0.725	0.989
MTHFD2L	MTR	9606.ENSP00000379108	9606.ENSP00000355536	0.047	0	0	0	0	0	0	0.408	0.411
MTHFD2L	MTHFR	9606.ENSP00000379108	9606.ENSP00000365777	0.219	0	0	0	0.128	0	0.900	0.595	0.968
MTHFD2L	MTHFD2	9606.ENSP00000379108	9606.ENSP00000377617	0	0	0.448	0.970	0	0.615	0.900	0.749	0.961
MTHFR	MTHFD1	9606.ENSP00000365777	9606.ENSP00000216605	0.219	0	0	0	0.062	0	0.900	0.899	0.991
MTHFR	MTRR	9606.ENSP00000365777	9606.ENSP00000264668	0.123	0	0	0	0.066	0.252	0	0.943	0.960
MTHFR	AMT	9606.ENSP00000365777	9606.ENSP00000273588	0.166	0	0	0	0.084	0	0.900	0.705	0.974
MTHFR	BHMT	9606.ENSP00000365777	9606.ENSP00000274353	0.185	0	0	0	0.117	0.241	0	0.846	0.904
MTHFR	TYMS	9606.ENSP00000365777	9606.ENSP00000315644	0.112	0	0	0	0.071	0	0.900	0.931	0.993
MTHFR	SHMT1	9606.ENSP00000365777	9606.ENSP00000318868	0.079	0	0	0	0.089	0	0.900	0.892	0.989
MTHFR	SHMT2	9606.ENSP00000365777	9606.ENSP00000333667	0.079	0	0	0	0.089	0	0.900	0.825	0.983
MTHFR	MTR	9606.ENSP00000365777	9606.ENSP00000355536	0.185	0.073	0	0	0.149	0.241	0.900	0.939	0.996
MTHFR	MTHFD2L	9606.ENSP00000365777	9606.ENSP00000379108	0.219	0	0	0	0.128	0	0.900	0.595	0.968
MTHFR	MTHFD2	9606.ENSP00000365777	9606.ENSP00000377617	0.219	0	0	0	0.128	0	0.900	0.703	0.977
MTR	MTHFD1	9606.ENSP00000355536	9606.ENSP00000216605	0.041	0	0	0	0.062	0	0.900	0.851	0.984
MTR	MTRR	9606.ENSP00000355536	9606.ENSP00000264668	0	0	0	0	0.064	0.697	0.600	0.945	0.992
MTR	AMT	9606.ENSP00000355536	9606.ENSP00000273588	0.053	0	0	0	0.063	0	0.900	0.455	0.945
MTR	BHMT	9606.ENSP00000355536	9606.ENSP00000274353	0	0	0	0.567	0	0	0.800	0.878	0.875
MTR	TYMS	9606.ENSP00000355536	9606.ENSP00000315644	0	0	0	0	0	0	0	0.777	0.777
MTR	SHMT1	9606.ENSP00000355536	9606.ENSP00000318868	0.049	0	0	0	0.062	0	0.900	0.834	0.983
MTR	SHMT2	9606.ENSP00000355536	9606.ENSP00000333667	0.049	0	0	0	0.062	0	0.900	0.731	0.972
MTR	MTHFD2L	9606.ENSP00000355536	9606.ENSP00000379108	0.047	0	0	0	0	0	0	0.408	0.411
MTR	MTHFD2	9606.ENSP00000355536	9606.ENSP00000377617	0.047	0	0	0	0	0	0	0.562	0.565
MTR	MTHFR	9606.ENSP00000355536	9606.ENSP00000365777	0.185	0.073	0	0	0.149	0.241	0.900	0.939	0.996
MTRR	MTHFD1	9606.ENSP00000264668	9606.ENSP00000216605	0.071	0	0	0	0.063	0	0	0.858	0.866
MTRR	AMT	9606.ENSP00000264668	9606.ENSP00000273588	0	0	0	0	0.084	0	0	0.516	0.537
MTRR	SHMT2	9606.ENSP00000264668	9606.ENSP00000333667	0	0	0	0	0.066	0	0	0.663	0.672
MTRR	MTHFD2	9606.ENSP00000264668	9606.ENSP00000377617	0.074	0	0	0	0	0	0	0.680	0.691
MTRR	TYMS	9606.ENSP00000264668	9606.ENSP00000315644	0	0	0	0	0.055	0	0	0.753	0.756
MTRR	BHMT	9606.ENSP00000264668	9606.ENSP00000274353	0	0	0	0	0.062	0	0	0.793	0.797
MTRR	SHMT1	9606.ENSP00000264668	9606.ENSP00000318868	0	0	0	0	0.066	0	0	0.809	0.814
MTRR	MTHFR	9606.ENSP00000264668	9606.ENSP00000365777	0.123	0	0	0	0.066	0.252	0	0.943	0.960
MTRR	MTR	9606.ENSP00000264668	9606.ENSP00000355536	0	0	0	0	0.064	0.697	0.600	0.945	0.992
SHMT1	MTHFD1	9606.ENSP00000318868	9606.ENSP00000216605	0.167	0	0	0	0.173	0.532	0.900	0.909	0.996
SHMT1	MTRR	9606.ENSP00000318868	9606.ENSP00000264668	0	0	0	0	0.066	0	0	0.809	0.814
SHMT1	AMT	9606.ENSP00000318868	9606.ENSP00000273588	0.111	0.020	0	0	0.481	0.711	0.900	0.785	0.996
SHMT1	BHMT	9606.ENSP00000318868	9606.ENSP00000274353	0.049	0	0	0	0.062	0	0	0.754	0.762
SHMT1	TYMS	9606.ENSP00000318868	9606.ENSP00000315644	0.174	0	0	0	0.166	0	0.900	0.885	0.991
SHMT1	SHMT2	9606.ENSP00000318868	9606.ENSP00000333667	0	0	0.448	0.966	0.084	0.272	0.800	0.842	0.861
SHMT1	MTR	9606.ENSP00000318868	9606.ENSP00000355536	0.049	0	0	0	0.062	0	0.900	0.834	0.983
SHMT1	MTHFR	9606.ENSP00000318868	9606.ENSP00000365777	0.079	0	0	0	0.089	0	0.900	0.892	0.989
SHMT1	MTHFD2L	9606.ENSP00000318868	9606.ENSP00000379108	0.167	0	0.213	0	0.488	0	0.900	0.748	0.990
SHMT1	MTHFD2	9606.ENSP00000318868	9606.ENSP00000377617	0.167	0	0.215	0	0.488	0	0.900	0.780	0.991
SHMT2	MTHFD1	9606.ENSP00000333667	9606.ENSP00000216605	0.167	0	0	0	0.206	0.532	0.900	0.826	0.993
SHMT2	MTRR	9606.ENSP00000333667	9606.ENSP00000264668	0	0	0	0	0.066	0	0	0.663	0.672
SHMT2	AMT	9606.ENSP00000333667	9606.ENSP00000273588	0.111	0	0	0	0.481	0.711	0.900	0.808	0.996
SHMT2	BHMT	9606.ENSP00000333667	9606.ENSP00000274353	0.049	0	0	0	0.062	0	0	0.672	0.682
