Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APBA2	CASK	9606.ENSP00000453293	9606.ENSP00000367408	0	0	0	0	0.062	0.717	0	0.644	0.897
APBA2	NRXN1	9606.ENSP00000453293	9606.ENSP00000385142	0	0	0	0	0.120	0.234	0.600	0.822	0.946
CASK	SYT1	9606.ENSP00000367408	9606.ENSP00000261205	0	0	0	0	0.063	0.057	0.900	0.292	0.929
CASK	NLGN2	9606.ENSP00000367408	9606.ENSP00000305288	0	0	0	0	0.062	0.105	0.600	0.357	0.755
CASK	NLGN3	9606.ENSP00000367408	9606.ENSP00000351591	0	0	0	0	0.122	0.105	0.600	0.273	0.741
CASK	NLGN1	9606.ENSP00000367408	9606.ENSP00000392500	0	0	0	0	0.064	0.105	0.600	0.347	0.752
CASK	NLGN4X	9606.ENSP00000367408	9606.ENSP00000370485	0	0	0	0	0.174	0.105	0.600	0.380	0.792
CASK	APBA2	9606.ENSP00000367408	9606.ENSP00000453293	0	0	0	0	0.062	0.717	0	0.644	0.897
CASK	NRXN1	9606.ENSP00000367408	9606.ENSP00000385142	0	0	0	0	0.066	0.395	0.600	0.726	0.929
CBLN1	NLGN4X	9606.ENSP00000219197	9606.ENSP00000370485	0	0	0	0	0.157	0	0	0.394	0.468
CBLN1	NLGN1	9606.ENSP00000219197	9606.ENSP00000392500	0	0	0	0	0.116	0	0	0.462	0.504
CBLN1	NLGN2	9606.ENSP00000219197	9606.ENSP00000305288	0	0	0	0	0.117	0	0	0.474	0.516
CBLN1	LRRTM2	9606.ENSP00000219197	9606.ENSP00000274711	0	0	0	0	0.097	0	0	0.587	0.611
CBLN1	NRXN1	9606.ENSP00000219197	9606.ENSP00000385142	0	0	0	0	0.292	0.204	0	0.887	0.931
LRRTM2	CBLN1	9606.ENSP00000274711	9606.ENSP00000219197	0	0	0	0	0.097	0	0	0.587	0.611
LRRTM2	NXPH1	9606.ENSP00000274711	9606.ENSP00000384551	0	0	0	0	0.159	0	0	0.372	0.450
LRRTM2	NLGN3	9606.ENSP00000274711	9606.ENSP00000351591	0	0	0	0	0.097	0.062	0	0.539	0.576
LRRTM2	NLGN4X	9606.ENSP00000274711	9606.ENSP00000370485	0	0	0	0	0.088	0.062	0	0.614	0.642
LRRTM2	NLGN2	9606.ENSP00000274711	9606.ENSP00000305288	0	0	0	0	0.062	0.062	0	0.740	0.751
LRRTM2	NLGN1	9606.ENSP00000274711	9606.ENSP00000392500	0	0	0	0	0.099	0.062	0	0.801	0.817
LRRTM2	NRXN1	9606.ENSP00000274711	9606.ENSP00000385142	0	0	0	0	0.160	0.178	0.600	0.978	0.993
NLGN1	CBLN1	9606.ENSP00000392500	9606.ENSP00000219197	0	0	0	0	0.116	0	0	0.462	0.504
NLGN1	SYT1	9606.ENSP00000392500	9606.ENSP00000261205	0	0	0	0	0.133	0	0	0.480	0.530
NLGN1	LRRTM2	9606.ENSP00000392500	9606.ENSP00000274711	0	0	0	0	0.099	0.062	0	0.801	0.817
NLGN1	NLGN2	9606.ENSP00000392500	9606.ENSP00000305288	0	0	0.443	0.965	0.099	0	0.600	0.881	0.641
NLGN1	NLGN3	9606.ENSP00000392500	9606.ENSP00000351591	0	0	0.443	0.969	0.095	0.229	0.600	0.891	0.708
NLGN1	CASK	9606.ENSP00000392500	9606.ENSP00000367408	0	0	0	0	0.064	0.105	0.600	0.347	0.752
NLGN1	NLGN4X	9606.ENSP00000392500	9606.ENSP00000370485	0	0	0.444	0.975	0.136	0	0.600	0.864	0.651
NLGN1	NRXN1	9606.ENSP00000392500	9606.ENSP00000385142	0	0	0	0	0.152	0.721	0.800	0.990	0.999
NLGN2	CBLN1	9606.ENSP00000305288	9606.ENSP00000219197	0	0	0	0	0.117	0	0	0.474	0.516
NLGN2	LRRTM2	9606.ENSP00000305288	9606.ENSP00000274711	0	0	0	0	0.062	0.062	0	0.740	0.751
NLGN2	NLGN4X	9606.ENSP00000305288	9606.ENSP00000370485	0	0	0.441	0.965	0.098	0	0.600	0.854	0.640
NLGN2	NLGN1	9606.ENSP00000305288	9606.ENSP00000392500	0	0	0.443	0.965	0.099	0	0.600	0.881	0.641
NLGN2	NLGN3	9606.ENSP00000305288	9606.ENSP00000351591	0	0	0.443	0.963	0.106	0.130	0.600	0.883	0.678
NLGN2	CASK	9606.ENSP00000305288	9606.ENSP00000367408	0	0	0	0	0.062	0.105	0.600	0.357	0.755
NLGN2	NRXN1	9606.ENSP00000305288	9606.ENSP00000385142	0	0	0	0	0.087	0.373	0.800	0.936	0.991
NLGN3	LRRTM2	9606.ENSP00000351591	9606.ENSP00000274711	0	0	0	0	0.097	0.062	0	0.539	0.576
NLGN3	NLGN2	9606.ENSP00000351591	9606.ENSP00000305288	0	0	0.443	0.963	0.106	0.130	0.600	0.883	0.678
