Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADH1B	ALDH2	9606.ENSP00000306606	9606.ENSP00000261733	0.049	0	0	0	0.140	0	0.900	0.916	0.992
ADH1B	DRD2	9606.ENSP00000306606	9606.ENSP00000354859	0	0	0	0	0	0	0	0.504	0.504
ADH1B	MAOB	9606.ENSP00000306606	9606.ENSP00000367309	0	0	0	0	0.104	0	0.650	0.203	0.728
ADH1B	MAOA	9606.ENSP00000306606	9606.ENSP00000340684	0	0	0	0	0.104	0	0.900	0.409	0.942
ADH1B	COMT	9606.ENSP00000306606	9606.ENSP00000354511	0	0	0	0	0.062	0	0.900	0.455	0.944
ALDH2	CYP1A1	9606.ENSP00000261733	9606.ENSP00000369050	0	0	0	0	0.062	0.061	0	0.437	0.461
ALDH2	DRD2	9606.ENSP00000261733	9606.ENSP00000354859	0	0	0	0	0	0	0	0.547	0.548
ALDH2	MAOB	9606.ENSP00000261733	9606.ENSP00000367309	0	0	0	0	0.083	0	0.900	0.365	0.936
ALDH2	COMT	9606.ENSP00000261733	9606.ENSP00000354511	0	0	0	0	0.062	0	0.900	0.451	0.944
ALDH2	MAOA	9606.ENSP00000261733	9606.ENSP00000340684	0	0	0	0	0.064	0	0.900	0.623	0.961
ALDH2	ADH1B	9606.ENSP00000261733	9606.ENSP00000306606	0.049	0	0	0	0.140	0	0.900	0.916	0.992
COMT	ALDH2	9606.ENSP00000354511	9606.ENSP00000261733	0	0	0	0	0.062	0	0.900	0.451	0.944
COMT	PNMT	9606.ENSP00000354511	9606.ENSP00000269582	0	0	0	0	0	0	0.900	0.648	0.963
COMT	ADH1B	9606.ENSP00000354511	9606.ENSP00000306606	0	0	0	0	0.062	0	0.900	0.455	0.944
COMT	MAOA	9606.ENSP00000354511	9606.ENSP00000340684	0	0	0	0	0	0	0.900	0.899	0.989
COMT	DRD2	9606.ENSP00000354511	9606.ENSP00000354859	0	0	0	0	0	0	0	0.940	0.940
COMT	CYP1A1	9606.ENSP00000354511	9606.ENSP00000369050	0	0	0	0	0.062	0	0.900	0.690	0.968
COMT	DBH	9606.ENSP00000354511	9606.ENSP00000376776	0	0	0	0	0	0	0.900	0.726	0.971
COMT	CYP1B1	9606.ENSP00000354511	9606.ENSP00000478561	0	0	0	0	0.052	0	0.900	0.722	0.971
COMT	DDC	9606.ENSP00000354511	9606.ENSP00000403644	0	0	0	0	0.062	0	0.900	0.812	0.980
COMT	MAOB	9606.ENSP00000354511	9606.ENSP00000367309	0	0	0	0	0	0	0.900	0.879	0.987
CYP1A1	ALDH2	9606.ENSP00000369050	9606.ENSP00000261733	0	0	0	0	0.062	0.061	0	0.437	0.461
CYP1A1	COMT	9606.ENSP00000369050	9606.ENSP00000354511	0	0	0	0	0.062	0	0.900	0.690	0.968
CYP1A1	CYP1B1	9606.ENSP00000369050	9606.ENSP00000478561	0	0	0.424	0.893	0.268	0	0.900	0.931	0.934
CYP1B1	COMT	9606.ENSP00000478561	9606.ENSP00000354511	0	0	0	0	0.052	0	0.900	0.722	0.971
CYP1B1	CYP1A1	9606.ENSP00000478561	9606.ENSP00000369050	0	0	0.424	0.893	0.268	0	0.900	0.931	0.934
DBH	PNMT	9606.ENSP00000376776	9606.ENSP00000269582	0	0	0	0	0.062	0	0.900	0.896	0.989
DBH	MAOA	9606.ENSP00000376776	9606.ENSP00000340684	0	0	0	0	0	0	0.900	0.644	0.962
DBH	COMT	9606.ENSP00000376776	9606.ENSP00000354511	0	0	0	0	0	0	0.900	0.726	0.971
DBH	DRD2	9606.ENSP00000376776	9606.ENSP00000354859	0	0	0	0	0.054	0	0	0.671	0.676
DBH	MAOB	9606.ENSP00000376776	9606.ENSP00000367309	0	0	0	0	0	0	0.900	0.528	0.950
DBH	DDC	9606.ENSP00000376776	9606.ENSP00000403644	0	0	0	0	0.064	0	0.900	0.881	0.987
DDC	PNMT	9606.ENSP00000403644	9606.ENSP00000269582	0	0	0	0	0	0	0	0.739	0.739
DDC	MAOA	9606.ENSP00000403644	9606.ENSP00000340684	0	0	0	0	0.088	0.075	0.900	0.703	0.971
DDC	COMT	9606.ENSP00000403644	9606.ENSP00000354511	0	0	0	0	0.062	0	0.900	0.812	0.980
DDC	DRD2	9606.ENSP00000403644	9606.ENSP00000354859	0	0	0	0	0	0.056	0	0.690	0.695
DDC	MAOB	9606.ENSP00000403644	9606.ENSP00000367309	0	0	0	0	0.064	0.075	0.900	0.754	0.975
DDC	DBH	9606.ENSP00000403644	9606.ENSP00000376776	0	0	0	0	0.064	0	0.900	0.881	0.987
DRD2	ALDH2	9606.ENSP00000354859	9606.ENSP00000261733	0	0	0	0	0	0	0	0.547	0.548
DRD2	ADH1B	9606.ENSP00000354859	9606.ENSP00000306606	0	0	0	0	0	0	0	0.504	0.504
DRD2	MAOA	9606.ENSP00000354859	9606.ENSP00000340684	0	0	0	0	0	0	0	0.756	0.757
DRD2	COMT	9606.ENSP00000354859	9606.ENSP00000354511	0	0	0	0	0	0	0	0.940	0.940
DRD2	MAOB	9606.ENSP00000354859	9606.ENSP00000367309	0	0	0	0	0.063	0	0	0.611	0.620
DRD2	DBH	9606.ENSP00000354859	9606.ENSP00000376776	0	0	0	0	0.054	0	0	0.671	0.676
DRD2	DDC	9606.ENSP00000354859	9606.ENSP00000403644	0	0	0	0	0	0.056	0	0.690	0.695
MAOA	ALDH2	9606.ENSP00000340684	9606.ENSP00000261733	0	0	0	0	0.064	0	0.900	0.623	0.961
MAOA	PNMT	9606.ENSP00000340684	9606.ENSP00000269582	0	0	0	0	0	0	0.900	0.430	0.940
MAOA	ADH1B	9606.ENSP00000340684	9606.ENSP00000306606	0	0	0	0	0.104	0	0.900	0.409	0.942
MAOA	DRD2	9606.ENSP00000340684	9606.ENSP00000354859	0	0	0	0	0	0	0	0.756	0.757
