#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM17	KRAS	9606.ENSP00000309968	9606.ENSP00000256078	0	0	0	0	0	0.142	0	0.344	0.413
ADAM17	MAPK3	9606.ENSP00000309968	9606.ENSP00000263025	0	0	0	0	0	0	0	0.465	0.465
ADAM17	EGF	9606.ENSP00000309968	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0.659	0.964
ADAM17	ERBB3	9606.ENSP00000309968	9606.ENSP00000267101	0	0	0	0	0	0	0	0.482	0.482
ADAM17	ERBB2	9606.ENSP00000309968	9606.ENSP00000269571	0	0	0	0	0.049	0	0.900	0.506	0.948
ADAM17	EGFR	9606.ENSP00000309968	9606.ENSP00000275493	0	0	0	0	0.062	0	0	0.948	0.949
ADAM17	NRG1	9606.ENSP00000309968	9606.ENSP00000384620	0	0	0	0	0	0	0.900	0.603	0.958
ADAM17	ERBB4	9606.ENSP00000309968	9606.ENSP00000342235	0	0	0	0	0	0.213	0.900	0.522	0.959
DLG4	KRAS	9606.ENSP00000382428	9606.ENSP00000256078	0	0	0	0	0	0.225	0.900	0.321	0.942
DLG4	MAPK3	9606.ENSP00000382428	9606.ENSP00000263025	0	0	0	0	0.090	0.139	0	0.495	0.570
DLG4	EGF	9606.ENSP00000382428	9606.ENSP00000265171	0	0	0	0	0	0.081	0.500	0.358	0.679
DLG4	ERBB2	9606.ENSP00000382428	9606.ENSP00000269571	0	0	0	0	0	0.282	0	0.459	0.595
DLG4	ERBB4	9606.ENSP00000382428	9606.ENSP00000342235	0	0	0	0	0.075	0.769	0.900	0.989	0.999
DLG4	NRG1	9606.ENSP00000382428	9606.ENSP00000384620	0	0	0	0	0	0	0.900	0.644	0.962
DLG4	GRIN2B	9606.ENSP00000382428	9606.ENSP00000477455	0	0	0	0	0.091	0.992	0.800	0.990	0.999
EGF	KRAS	9606.ENSP00000265171	9606.ENSP00000256078	0	0	0	0	0	0	0.900	0.779	0.977
EGF	MAPK3	9606.ENSP00000265171	9606.ENSP00000263025	0	0	0	0	0	0	0	0.820	0.820
EGF	DLG4	9606.ENSP00000265171	9606.ENSP00000382428	0	0	0	0	0	0.081	0.500	0.358	0.679
EGF	ADAM17	9606.ENSP00000265171	9606.ENSP00000309968	0	0	0	0	0	0	0.900	0.659	0.964
EGF	NRG1	9606.ENSP00000265171	9606.ENSP00000384620	0	0	0	0	0	0.658	0.500	0.850	0.972
EGF	ERBB4	9606.ENSP00000265171	9606.ENSP00000342235	0	0	0	0	0.177	0.082	0.600	0.985	0.995
EGF	ERBB2	9606.ENSP00000265171	9606.ENSP00000269571	0	0	0	0	0.160	0.321	0.900	0.989	0.999
EGF	ERBB3	9606.ENSP00000265171	9606.ENSP00000267101	0	0	0	0	0.177	0.301	0.900	0.987	0.999
EGF	EGFR	9606.ENSP00000265171	9606.ENSP00000275493	0	0	0	0	0.160	0.982	0.900	0.991	0.999
EGFR	KRAS	9606.ENSP00000275493	9606.ENSP00000256078	0	0	0	0	0.052	0.789	0.900	0.936	0.998
EGFR	MAPK3	9606.ENSP00000275493	9606.ENSP00000263025	0	0	0	0.580	0	0.413	0.900	0.859	0.960
EGFR	EGF	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0.160	0.982	0.900	0.991	0.999
