Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH18A1	PYCRL	9606.ENSP00000360268	9606.ENSP00000220966	0.347	0	0.316	0	0.242	0.368	0	0.880	0.969
ALDH18A1	PYCR2	9606.ENSP00000360268	9606.ENSP00000342502	0.347	0	0.297	0	0.335	0.368	0	0.888	0.974
ALDH18A1	OAT	9606.ENSP00000360268	9606.ENSP00000357838	0.383	0	0	0	0.082	0.747	0.900	0.909	0.998
ALDH18A1	PRODH	9606.ENSP00000360268	9606.ENSP00000481127	0.185	0	0	0	0.062	0.093	0	0.934	0.948
ALDH18A1	PYCR1	9606.ENSP00000360268	9606.ENSP00000384949	0.347	0	0.297	0	0.351	0.368	0	0.941	0.987
ALDH18A1	ALDH4A1	9606.ENSP00000360268	9606.ENSP00000364490	0.072	0	0	0	0.060	0	0.900	0.926	0.992
ALDH4A1	PYCRL	9606.ENSP00000364490	9606.ENSP00000220966	0	0	0	0	0.062	0	0.900	0.644	0.963
ALDH4A1	PYCR2	9606.ENSP00000364490	9606.ENSP00000342502	0	0	0	0	0	0	0.900	0.676	0.966
ALDH4A1	OAT	9606.ENSP00000364490	9606.ENSP00000357838	0.075	0	0	0	0.094	0	0.900	0.811	0.982
ALDH4A1	ALDH18A1	9606.ENSP00000364490	9606.ENSP00000360268	0.072	0	0	0	0.060	0	0.900	0.926	0.992
ALDH4A1	PYCR1	9606.ENSP00000364490	9606.ENSP00000384949	0	0	0	0	0.065	0	0.900	0.799	0.979
ALDH4A1	PRODH	9606.ENSP00000364490	9606.ENSP00000481127	0.058	0	0	0	0.346	0.104	0.900	0.928	0.995
LAP3	PYCRL	9606.ENSP00000226299	9606.ENSP00000220966	0.058	0	0	0	0.109	0	0.900	0	0.908
LAP3	P4HA2	9606.ENSP00000226299	9606.ENSP00000384999	0	0	0	0	0	0	0.900	0.059	0.901
LAP3	P4HA1	9606.ENSP00000226299	9606.ENSP00000263556	0	0	0	0	0	0	0.900	0.059	0.901
LAP3	PRODH	9606.ENSP00000226299	9606.ENSP00000481127	0	0	0	0	0	0	0.900	0.070	0.903
LAP3	PYCR2	9606.ENSP00000226299	9606.ENSP00000342502	0.058	0	0	0	0.109	0	0.900	0	0.908
LAP3	PYCR1	9606.ENSP00000226299	9606.ENSP00000384949	0.058	0	0	0	0.109	0	0.900	0.090	0.913
OAT	PYCRL	9606.ENSP00000357838	9606.ENSP00000220966	0.154	0	0	0	0.082	0	0	0.761	0.798
OAT	PYCR2	9606.ENSP00000357838	9606.ENSP00000342502	0.154	0	0	0	0.082	0	0	0.674	0.725
OAT	PYCR1	9606.ENSP00000357838	9606.ENSP00000384949	0.154	0	0	0	0.082	0	0	0.793	0.825
OAT	PRODH	9606.ENSP00000357838	9606.ENSP00000481127	0.111	0	0	0	0.065	0	0	0.825	0.842
OAT	ALDH4A1	9606.ENSP00000357838	9606.ENSP00000364490	0.075	0	0	0	0.094	0	0.900	0.811	0.982
OAT	ALDH18A1	9606.ENSP00000357838	9606.ENSP00000360268	0.383	0	0	0	0.082	0.747	0.900	0.909	0.998
P4HA1	PYCRL	9606.ENSP00000263556	9606.ENSP00000220966	0	0	0	0	0.062	0	0.900	0.062	0.904
P4HA1	LAP3	9606.ENSP00000263556	9606.ENSP00000226299	0	0	0	0	0	0	0.900	0.059	0.901
P4HA1	P4HA2	9606.ENSP00000263556	9606.ENSP00000384999	0	0	0.437	0.969	0.132	0.103	0.800	0.884	0.837
P4HA1	PRODH	9606.ENSP00000263556	9606.ENSP00000481127	0	0	0	0	0	0	0.900	0.043	0.900
P4HA1	PYCR2	9606.ENSP00000263556	9606.ENSP00000342502	0	0	0	0	0	0	0.900	0.062	0.902
P4HA1	PYCR1	9606.ENSP00000263556	9606.ENSP00000384949	0	0	0	0	0.065	0	0.900	0.094	0.907
P4HA2	PYCRL	9606.ENSP00000384999	9606.ENSP00000220966	0	0	0	0	0	0	0.900	0.062	0.902
P4HA2	LAP3	9606.ENSP00000384999	9606.ENSP00000226299	0	0	0	0	0	0	0.900	0.059	0.901
P4HA2	P4HA1	9606.ENSP00000384999	9606.ENSP00000263556	0	0	0.437	0.969	0.132	0.103	0.800	0.884	0.837
P4HA2	PYCR2	9606.ENSP00000384999	9606.ENSP00000342502	0	0	0	0	0.054	0	0.900	0.062	0.903
P4HA2	PYCR1	9606.ENSP00000384999	9606.ENSP00000384949	0	0	0	0	0.076	0	0.900	0.091	0.908
P4HA2	PRODH	9606.ENSP00000384999	9606.ENSP00000481127	0	0	0	0	0	0	0.900	0.043	0.900
PRODH	PYCRL	9606.ENSP00000481127	9606.ENSP00000220966	0.077	0	0	0	0	0.083	0.800	0.669	0.936
PRODH	LAP3	9606.ENSP00000481127	9606.ENSP00000226299	0	0	0	0	0	0	0.900	0.070	0.903
PRODH	P4HA1	9606.ENSP00000481127	9606.ENSP00000263556	0	0	0	0	0	0	0.900	0.043	0.900
PRODH	PYCR2	9606.ENSP00000481127	9606.ENSP00000342502	0.077	0	0	0	0	0.083	0.800	0.669	0.936
PRODH	OAT	9606.ENSP00000481127	9606.ENSP00000357838	0.111	0	0	0	0.065	0	0	0.825	0.842
PRODH	ALDH18A1	9606.ENSP00000481127	9606.ENSP00000360268	0.185	0	0	0	0.062	0.093	0	0.934	0.948
PRODH	ALDH4A1	9606.ENSP00000481127	9606.ENSP00000364490	0.058	0	0	0	0.346	0.104	0.900	0.928	0.995
PRODH	ZDHHC8	9606.ENSP00000481127	9606.ENSP00000384716	0	0	0	0	0	0	0	0.803	0.803
PRODH	PYCR1	9606.ENSP00000481127	9606.ENSP00000384949	0.077	0	0	0	0	0.083	0.800	0.803	0.962
PRODH	P4HA2	9606.ENSP00000481127	9606.ENSP00000384999	0	0	0	0	0	0	0.900	0.043	0.900
PYCR1	PYCRL	9606.ENSP00000384949	9606.ENSP00000220966	0	0	0.448	0.912	0.083	0.874	0.800	0.751	0.977
PYCR1	LAP3	9606.ENSP00000384949	9606.ENSP00000226299	0.058	0	0	0	0.109	0	0.900	0.090	0.913
PYCR1	P4HA1	9606.ENSP00000384949	9606.ENSP00000263556	0	0	0	0	0.065	0	0.900	0.094	0.907
PYCR1	PYCR2	9606.ENSP00000384949	9606.ENSP00000342502	0	0	0.449	0.981	0.156	0.872	0.800	0.819	0.977
PYCR1	OAT	9606.ENSP00000384949	9606.ENSP00000357838	0.154	0	0	0	0.082	0	0	0.793	0.825
PYCR1	ALDH18A1	9606.ENSP00000384949	9606.ENSP00000360268	0.347	0	0.297	0	0.351	0.368	0	0.941	0.987
PYCR1	ALDH4A1	9606.ENSP00000384949	9606.ENSP00000364490	0	0	0	0	0.065	0	0.900	0.799	0.979
PYCR1	P4HA2	9606.ENSP00000384949	9606.ENSP00000384999	0	0	0	0	0.076	0	0.900	0.091	0.908
PYCR1	PRODH	9606.ENSP00000384949	9606.ENSP00000481127	0.077	0	0	0	0	0.083	0.800	0.803	0.962
PYCR2	PYCRL	9606.ENSP00000342502	9606.ENSP00000220966	0	0	0.448	0.908	0.062	0.880	0.800	0.831	0.978
PYCR2	LAP3	9606.ENSP00000342502	9606.ENSP00000226299	0.058	0	0	0	0.109	0	0.900	0	0.908
PYCR2	P4HA1	9606.ENSP00000342502	9606.ENSP00000263556	0	0	0	0	0	0	0.900	0.062	0.902
PYCR2	OAT	9606.ENSP00000342502	9606.ENSP00000357838	0.154	0	0	0	0.082	0	0	0.674	0.725
PYCR2	P4HA2	9606.ENSP00000342502	9606.ENSP00000384999	0	0	0	0	0.054	0	0.900	0.062	0.903
PYCR2	PRODH	9606.ENSP00000342502	9606.ENSP00000481127	0.077	0	0	0	0	0.083	0.800	0.669	0.936
PYCR2	ALDH4A1	9606.ENSP00000342502	9606.ENSP00000364490	0	0	0	0	0	0	0.900	0.676	0.966
PYCR2	ALDH18A1	9606.ENSP00000342502	9606.ENSP00000360268	0.347	0	0.297	0	0.335	0.368	0	0.888	0.974
PYCR2	PYCR1	9606.ENSP00000342502	9606.ENSP00000384949	0	0	0.449	0.981	0.156	0.872	0.800	0.819	0.977
PYCRL	OAT	9606.ENSP00000220966	9606.ENSP00000357838	0.154	0	0	0	0.082	0	0	0.761	0.798
PYCRL	P4HA2	9606.ENSP00000220966	9606.ENSP00000384999	0	0	0	0	0	0	0.900	0.062	0.902
PYCRL	P4HA1	9606.ENSP00000220966	9606.ENSP00000263556	0	0	0	0	0.062	0	0.900	0.062	0.904
PYCRL	LAP3	9606.ENSP00000220966	9606.ENSP00000226299	0.058	0	0	0	0.109	0	0.900	0	0.908
PYCRL	PRODH	9606.ENSP00000220966	9606.ENSP00000481127	0.077	0	0	0	0	0.083	0.800	0.669	0.936
PYCRL	ALDH4A1	9606.ENSP00000220966	9606.ENSP00000364490	0	0	0	0	0.062	0	0.900	0.644	0.963
PYCRL	ALDH18A1	9606.ENSP00000220966	9606.ENSP00000360268	0.347	0	0.316	0	0.242	0.368	0	0.880	0.969
PYCRL	PYCR1	9606.ENSP00000220966	9606.ENSP00000384949	0	0	0.448	0.912	0.083	0.874	0.800	0.751	0.977
PYCRL	PYCR2	9606.ENSP00000220966	9606.ENSP00000342502	0	0	0.448	0.908	0.062	0.880	0.800	0.831	0.978
ZDHHC8	PRODH	9606.ENSP00000384716	9606.ENSP00000481127	0	0	0	0	0	0	0	0.803	0.803
