Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCDC88A	NDEL1	9606.ENSP00000338728	9606.ENSP00000333982	0	0	0	0	0	0.272	0	0.608	0.702
CCDC88A	TNIK	9606.ENSP00000338728	9606.ENSP00000399511	0	0	0	0	0	0	0	0.428	0.428
CCDC88A	PAFAH1B1	9606.ENSP00000338728	9606.ENSP00000380378	0	0	0	0	0	0	0	0.521	0.521
CCDC88A	DISC1	9606.ENSP00000338728	9606.ENSP00000355593	0	0	0	0	0	0.272	0	0.982	0.987
DISC1	KALRN	9606.ENSP00000355593	9606.ENSP00000240874	0	0	0	0	0	0.284	0	0.989	0.992
DISC1	FEZ1	9606.ENSP00000355593	9606.ENSP00000278919	0	0	0	0	0	0.270	0	0.983	0.987
DISC1	PDE4B	9606.ENSP00000355593	9606.ENSP00000332116	0	0	0	0	0	0.300	0	0.989	0.992
DISC1	NDEL1	9606.ENSP00000355593	9606.ENSP00000333982	0	0	0	0	0	0.872	0	0.989	0.998
DISC1	CCDC88A	9606.ENSP00000355593	9606.ENSP00000338728	0	0	0	0	0	0.272	0	0.982	0.987
DISC1	PCNT	9606.ENSP00000355593	9606.ENSP00000352572	0	0	0	0	0	0.669	0	0.987	0.995
DISC1	TNIK	9606.ENSP00000355593	9606.ENSP00000399511	0	0	0	0	0	0.492	0	0.979	0.989
DISC1	PDE4A	9606.ENSP00000355593	9606.ENSP00000370078	0	0	0	0	0	0.176	0	0.988	0.990
DISC1	PAFAH1B1	9606.ENSP00000355593	9606.ENSP00000380378	0	0	0	0	0	0.492	0	0.987	0.993
DISC1	NDE1	9606.ENSP00000355593	9606.ENSP00000379643	0	0	0	0	0	0.500	0	0.988	0.994
FEZ1	NDEL1	9606.ENSP00000278919	9606.ENSP00000333982	0	0	0	0	0	0	0	0.480	0.480
FEZ1	DISC1	9606.ENSP00000278919	9606.ENSP00000355593	0	0	0	0	0	0.270	0	0.983	0.987
KALRN	TNIK	9606.ENSP00000240874	9606.ENSP00000399511	0	0	0	0	0.084	0.070	0	0.467	0.506
KALRN	NDE1	9606.ENSP00000240874	9606.ENSP00000379643	0	0	0	0	0	0	0	0.536	0.536
KALRN	NDEL1	9606.ENSP00000240874	9606.ENSP00000333982	0	0	0	0	0	0.272	0	0.409	0.551
KALRN	DISC1	9606.ENSP00000240874	9606.ENSP00000355593	0	0	0	0	0	0.284	0	0.989	0.992
NDE1	KALRN	9606.ENSP00000379643	9606.ENSP00000240874	0	0	0	0	0	0	0	0.536	0.536
NDE1	PDE4B	9606.ENSP00000379643	9606.ENSP00000332116	0	0	0	0	0	0	0	0.625	0.625
NDE1	NDEL1	9606.ENSP00000379643	9606.ENSP00000333982	0	0	0	0.945	0	0.740	0	0.956	0.753
NDE1	PCNT	9606.ENSP00000379643	9606.ENSP00000352572	0	0	0	0	0.062	0.113	0	0.527	0.572
NDE1	DISC1	9606.ENSP00000379643	9606.ENSP00000355593	0	0	0	0	0	0.500	0	0.988	0.994
NDE1	PDE4A	9606.ENSP00000379643	9606.ENSP00000370078	0	0	0	0	0	0	0	0.542	0.543
NDE1	TNIK	9606.ENSP00000379643	9606.ENSP00000399511	0	0	0	0	0	0	0	0.415	0.415
NDE1	PAFAH1B1	9606.ENSP00000379643	9606.ENSP00000380378	0	0	0	0	0.062	0.909	0	0.994	0.999
NDEL1	KALRN	9606.ENSP00000333982	9606.ENSP00000240874	0	0	0	0	0	0.272	0	0.409	0.551
NDEL1	FEZ1	9606.ENSP00000333982	9606.ENSP00000278919	0	0	0	0	0	0	0	0.480	0.480
NDEL1	PDE4B	9606.ENSP00000333982	9606.ENSP00000332116	0	0	0	0	0	0	0	0.732	0.732
NDEL1	PCNT	9606.ENSP00000333982	9606.ENSP00000352572	0	0	0	0	0	0.057	0	0.459	0.468
NDEL1	TNIK	9606.ENSP00000333982	9606.ENSP00000399511	0	0	0	0	0	0	0	0.588	0.588
