Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APOA1	PON1	9606.ENSP00000236850	9606.ENSP00000222381	0	0	0	0	0.097	0.213	0.720	0.987	0.997
APOA1	MPO	9606.ENSP00000236850	9606.ENSP00000225275	0	0	0	0	0	0	0	0.959	0.959
APOA1	CP	9606.ENSP00000236850	9606.ENSP00000264613	0	0	0	0	0.110	0.159	0	0.604	0.678
AZU1	CTSG	9606.ENSP00000233997	9606.ENSP00000216336	0	0	0.422	0.794	0.559	0	0	0.786	0.659
AZU1	MPO	9606.ENSP00000233997	9606.ENSP00000225275	0	0	0	0	0.673	0.056	0	0.821	0.940
AZU1	CP	9606.ENSP00000233997	9606.ENSP00000264613	0	0	0	0	0.050	0	0	0.453	0.458
AZU1	PRTN3	9606.ENSP00000233997	9606.ENSP00000234347	0	0	0.421	0.899	0.635	0	0	0.720	0.674
AZU1	ELANE	9606.ENSP00000233997	9606.ENSP00000466090	0	0	0.397	0.900	0.777	0	0	0.745	0.801
CES1	PON1	9606.ENSP00000353720	9606.ENSP00000222381	0	0	0	0	0.062	0	0	0.519	0.529
CES1	MPO	9606.ENSP00000353720	9606.ENSP00000225275	0	0	0	0	0	0.064	0.900	0.327	0.931
CES1	NAT1	9606.ENSP00000353720	9606.ENSP00000443194	0	0	0	0	0.058	0	0.900	0.218	0.919
CP	PON1	9606.ENSP00000264613	9606.ENSP00000222381	0	0	0	0	0.062	0	0	0.568	0.577
CP	MPO	9606.ENSP00000264613	9606.ENSP00000225275	0	0	0	0	0.049	0.835	0	0.818	0.969
CP	AZU1	9606.ENSP00000264613	9606.ENSP00000233997	0	0	0	0	0.050	0	0	0.453	0.458
CP	APOA1	9606.ENSP00000264613	9606.ENSP00000236850	0	0	0	0	0.110	0.159	0	0.604	0.678
CTSG	PRTN3	9606.ENSP00000216336	9606.ENSP00000234347	0	0	0.438	0.857	0.383	0	0.300	0.879	0.629
CTSG	AZU1	9606.ENSP00000216336	9606.ENSP00000233997	0	0	0.422	0.794	0.559	0	0	0.786	0.659
CTSG	ELANE	9606.ENSP00000216336	9606.ENSP00000466090	0	0	0.437	0.821	0.784	0	0.300	0.911	0.877
CTSG	MPO	9606.ENSP00000216336	9606.ENSP00000225275	0	0	0	0	0.611	0.056	0	0.816	0.927
ELANE	CTSG	9606.ENSP00000466090	9606.ENSP00000216336	0	0	0.437	0.821	0.784	0	0.300	0.911	0.877
ELANE	MPO	9606.ENSP00000466090	9606.ENSP00000225275	0	0	0	0	0.784	0.141	0	0.859	0.971
ELANE	AZU1	9606.ENSP00000466090	9606.ENSP00000233997	0	0	0.397	0.900	0.777	0	0	0.745	0.801
ELANE	PRTN3	9606.ENSP00000466090	9606.ENSP00000234347	0	0	0.441	0.945	0.648	0	0.300	0.870	0.761
MPO	CTSG	9606.ENSP00000225275	9606.ENSP00000216336	0	0	0	0	0.611	0.056	0	0.816	0.927
MPO	PON1	9606.ENSP00000225275	9606.ENSP00000222381	0	0	0	0	0	0	0	0.923	0.923
MPO	NAT1	9606.ENSP00000225275	9606.ENSP00000443194	0	0	0	0	0	0	0.900	0.167	0.913
MPO	CES1	9606.ENSP00000225275	9606.ENSP00000353720	0	0	0	0	0	0.064	0.900	0.327	0.931
MPO	PTGS1	9606.ENSP00000225275	9606.ENSP00000354612	0	0	0	0	0.076	0	0.900	0.340	0.933
MPO	AZU1	9606.ENSP00000225275	9606.ENSP00000233997	0	0	0	0	0.673	0.056	0	0.821	0.940
MPO	APOA1	9606.ENSP00000225275	9606.ENSP00000236850	0	0	0	0	0	0	0	0.959	0.959
MPO	PRTN3	9606.ENSP00000225275	9606.ENSP00000234347	0	0	0	0	0.566	0.056	0	0.914	0.961
MPO	CP	9606.ENSP00000225275	9606.ENSP00000264613	0	0	0	0	0.049	0.835	0	0.818	0.969
MPO	ELANE	9606.ENSP00000225275	9606.ENSP00000466090	0	0	0	0	0.784	0.141	0	0.859	0.971
NAT1	MPO	9606.ENSP00000443194	9606.ENSP00000225275	0	0	0	0	0	0	0.900	0.167	0.913
NAT1	CES1	9606.ENSP00000443194	9606.ENSP00000353720	0	0	0	0	0.058	0	0.900	0.218	0.919
PON1	CES1	9606.ENSP00000222381	9606.ENSP00000353720	0	0	0	0	0.062	0	0	0.519	0.529
PON1	CP	9606.ENSP00000222381	9606.ENSP00000264613	0	0	0	0	0.062	0	0	0.568	0.577
PON1	MPO	9606.ENSP00000222381	9606.ENSP00000225275	0	0	0	0	0	0	0	0.923	0.923
PON1	APOA1	9606.ENSP00000222381	9606.ENSP00000236850	0	0	0	0	0.097	0.213	0.720	0.987	0.997
PRTN3	CTSG	9606.ENSP00000234347	9606.ENSP00000216336	0	0	0.438	0.857	0.383	0	0.300	0.879	0.629
PRTN3	MPO	9606.ENSP00000234347	9606.ENSP00000225275	0	0	0	0	0.566	0.056	0	0.914	0.961
PRTN3	AZU1	9606.ENSP00000234347	9606.ENSP00000233997	0	0	0.421	0.899	0.635	0	0	0.720	0.674
PRTN3	ELANE	9606.ENSP00000234347	9606.ENSP00000466090	0	0	0.441	0.945	0.648	0	0.300	0.870	0.761
PTGS1	MPO	9606.ENSP00000354612	9606.ENSP00000225275	0	0	0	0	0.076	0	0.900	0.340	0.933
