Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	SERPINE1	9606.ENSP00000275493	9606.ENSP00000223095	0	0	0	0	0.125	0	0	0.504	0.548
EGFR	VTN	9606.ENSP00000275493	9606.ENSP00000226218	0	0	0	0	0.062	0	0	0.404	0.417
EGFR	LRP1	9606.ENSP00000275493	9606.ENSP00000243077	0	0	0	0	0.108	0.666	0	0.459	0.825
EGFR	FN1	9606.ENSP00000275493	9606.ENSP00000346839	0	0	0	0	0.185	0.094	0	0.798	0.838
EGFR	PLAU	9606.ENSP00000275493	9606.ENSP00000361850	0	0	0	0	0.088	0	0.900	0.626	0.962
EGFR	SRC	9606.ENSP00000275493	9606.ENSP00000362680	0	0	0	0.671	0	0.931	0.900	0.990	0.995
EGFR	PLAUR	9606.ENSP00000275493	9606.ENSP00000339328	0	0	0	0	0	0	0.900	0.987	0.998
FGB	SERPINE1	9606.ENSP00000306099	9606.ENSP00000223095	0	0	0	0	0.069	0.062	0	0.418	0.447
FGB	VTN	9606.ENSP00000306099	9606.ENSP00000226218	0	0	0	0	0.410	0.070	0	0.353	0.614
FGB	SRC	9606.ENSP00000306099	9606.ENSP00000362680	0	0	0	0	0.062	0.056	0.500	0.050	0.523
FGB	FN1	9606.ENSP00000306099	9606.ENSP00000346839	0	0	0	0	0.083	0.449	0.720	0.310	0.889
FGB	PLAUR	9606.ENSP00000306099	9606.ENSP00000339328	0	0	0	0	0	0	0.900	0.136	0.909
FGB	PLAU	9606.ENSP00000306099	9606.ENSP00000361850	0	0	0	0	0	0.056	0.900	0.499	0.948
FN1	SERPINE1	9606.ENSP00000346839	9606.ENSP00000223095	0	0	0	0	0.295	0	0	0.749	0.815
FN1	VTN	9606.ENSP00000346839	9606.ENSP00000226218	0	0	0	0	0.070	0	0	0.982	0.983
FN1	LRP1	9606.ENSP00000346839	9606.ENSP00000243077	0	0	0	0	0.161	0	0	0.392	0.468
FN1	EGFR	9606.ENSP00000346839	9606.ENSP00000275493	0	0	0	0	0.185	0.094	0	0.798	0.838
FN1	FGB	9606.ENSP00000346839	9606.ENSP00000306099	0	0	0	0	0.083	0.449	0.720	0.310	0.889
FN1	PLAUR	9606.ENSP00000346839	9606.ENSP00000339328	0	0	0	0	0.062	0	0.900	0.844	0.984
FN1	SERPINB2	9606.ENSP00000346839	9606.ENSP00000401645	0	0	0	0	0.062	0	0	0.405	0.418
FN1	SERPINE2	9606.ENSP00000346839	9606.ENSP00000415786	0	0	0	0	0.175	0	0	0.550	0.613
FN1	PLAU	9606.ENSP00000346839	9606.ENSP00000361850	0	0	0	0	0.102	0	0.900	0.690	0.969
FN1	SRC	9606.ENSP00000346839	9606.ENSP00000362680	0	0	0	0	0	0	0.900	0.823	0.981
LRP1	SERPINE1	9606.ENSP00000243077	9606.ENSP00000223095	0	0	0	0	0.070	0.283	0.900	0.988	0.999
LRP1	VTN	9606.ENSP00000243077	9606.ENSP00000226218	0	0	0	0	0.084	0	0	0.412	0.439
LRP1	FN1	9606.ENSP00000243077	9606.ENSP00000346839	0	0	0	0	0.161	0	0	0.392	0.468
